t,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
1971,13905.97062,16249.51416,13905.97062,14425.7993,14425.7993,14425.7993,27200,27200,27200,14425.7993,14425.7993,14425.7993,14425.7993,13905.97062,13905.97062,13905.97062,13905.97062,27200,27200,27200,8851.336117,8851.336117,8851.336117,15800,27200,27200
1972,14025.61516,16369.1587,14025.61516,14470.64108,14470.64108,14470.64108,27200,27200,27200,14470.64108,14470.64108,14470.64108,14470.64108,14025.61516,14025.61516,14025.61516,14025.61516,27200,27200,27200,8851.336117,8851.336117,8851.336117,15720,27200,27200
1973,13562.42297,15905.96651,13562.42297,14571.56716,14571.56716,14571.56716,27200,27200,27200,14571.56716,14571.56716,14571.56716,14571.56716,13562.42297,13562.42297,13562.42297,13562.42297,27200,27200,27200,8851.336117,8851.336117,8851.336117,15640,27200,27200
1974,12496.5181,14840.06164,12496.5181,14501.27937,14501.27937,14501.27937,27200,27200,27200,14501.27937,14501.27937,14501.27937,14501.27937,12496.5181,12496.5181,12496.5181,12496.5181,27200,27200,27200,8851.336117,8851.336117,8851.336117,15560,27200,27200
1975,12638.45849,14982.00203,12638.45849,14392.32887,14392.32887,14392.32887,27200,27200,27200,14392.32887,14392.32887,14392.32887,14392.32887,12638.45849,12638.45849,12638.45849,12638.45849,27200,27200,27200,8851.336117,8851.336117,8851.336117,15480,27200,27200
1976,12813.24802,15156.79155,12813.24802,14446.23911,14446.23911,14446.23911,27200,27200,27200,14446.23911,14446.23911,14446.23911,14446.23911,12813.24802,12813.24802,12813.24802,12813.24802,27200,27200,27200,8758.36592,8758.36592,8758.36592,15400,27200,27200
1977,12972.60879,15316.15233,12972.60879,14535.94382,14535.94382,14535.94382,27200,27200,27200,14535.94382,14535.94382,14535.94382,14535.94382,12972.60879,12972.60879,12972.60879,12972.60879,27200,27200,27200,8665.395723,8665.395723,8665.395723,15300,27200,27200
1978,12944.88169,15288.42523,12944.88169,14680.45488,14680.45488,14680.45488,27200,27200,27200,14680.45488,14680.45488,14680.45488,14680.45488,12944.88169,12944.88169,12944.88169,12944.88169,27200,27200,27200,8572.425526,8572.425526,8572.425526,15200,27200,27200
1979,12239.55849,14583.10202,12239.55849,14524.38641,14524.38641,14524.38641,27200,27200,27200,14524.38641,14524.38641,14524.38641,14524.38641,12239.55849,12239.55849,12239.55849,12239.55849,27200,27200,27200,8479.455328,8479.455328,8479.455328,15100,27200,27200
1980,11839.11305,14182.65659,11839.11305,14475.32439,14475.32439,14475.32439,27200,27200,27200,14475.32439,14475.32439,14475.32439,14475.32439,11839.11305,11839.11305,11839.11305,11839.11305,27200,27200,27200,8386.485131,8386.485131,8386.485131,15166.66667,27200,27200
1981,11936.5423,14280.08584,11936.5423,14365.0774,14365.0774,14365.0774,27200,27200,27200,14365.0774,14365.0774,14365.0774,14365.0774,11936.5423,11936.5423,11936.5423,11936.5423,27200,27200,27200,8431.284515,8431.284515,8431.284515,15233.33333,27200,27200
1982,12221.64603,14565.18957,12221.64603,14357.80646,14357.80646,14357.80646,27200,27200,27200,14357.80646,14357.80646,14357.80646,14357.80646,12221.64603,12221.64603,12221.64603,12221.64603,27200,27200,27200,8476.083898,8476.083898,8476.083898,15300,27200,27200
1983,12330.14732,14673.69086,12330.14732,14299.47355,14299.47355,14299.47355,27200,27200,27200,14299.47355,14299.47355,14299.47355,14299.47355,12330.14732,12330.14732,12330.14732,12330.14732,27200,27200,27200,8520.883282,8520.883282,8520.883282,15366.66667,27200,27200
1984,12539.03839,14882.58193,12539.03839,14391.83537,14391.83537,14391.83537,27200,27200,27200,14391.83537,14391.83537,14391.83537,14391.83537,12539.03839,12539.03839,12539.03839,12539.03839,27200,27200,27200,8565.682666,8565.682666,8565.682666,15433.33333,27200,27200
1985,12815.50112,15159.04466,12815.50112,14436.13438,14436.13438,14436.13438,27200,27200,27200,14436.13438,14436.13438,14436.13438,14436.13438,12815.50112,12815.50112,12815.50112,12815.50112,27200,27200,27200,8610.482049,8610.482049,8610.482049,15500,27200,27200
