year,wt%,Steel,Aluminium,Concrete,Plastics,Glass,Cu,Nd,Co,Pb
2000,Flywheel,0.608582773,0.20239317,0,0,0,0.013558201,0.006416159,0,0
2000,Compressed Air,0.984282243,0.007689705,0,0,0,0.008028052,0,0,0
2000,Hydrogen FC,0.961674445,0.00471409,0,0,0,0.017677839,0,0,0
2000,NiMH,0.1,0.00255,0,0.21,0,0.01769956,0.047101968,0.00255,0
2000,Deep-cycle Lead-Acid,0,0,0,0.1,0.02,0,0,0,0.61
2000,LMO,0.2147,0.0374,0,0.0839875,0,0.1003,0,0,0
2000,NMC,0.2147,0.0374,0,0.0839875,0,0.1003,0,0.076449528,0
2000,NCA,0.007413299,0.243716195,0,0,0,0.124721604,0,0.031307668,0
2000,LFP,0.140880503,0.05,0,0.1,0,0.05,0,0,0
2000,LTO,0.045,0.1398492,0,0.0618742,0,0,0,0,0
2000,Zinc-Bromide,0.15,0,0,0.043,0,0.01,0,0,0
2000,Vanadium Redox,0.106,0,0,0.043,0,0.008,0,0,0
2000,Sodium-Sulfur,0.128,0.227,0,0.08,0.043,0.034,0,0,0
2000,ZEBRA,0.304,0.111334308,0,0.022,0,0.035,0,0,0
2000,Lithium Sulfur,0.0053,0.1838,0,0.0407,0,0.0782,0,0,0
2000,Lithium Ceramic ,0.0053,0.1838,0,0.0407,0,0.0782,0,0.020989311,0
2000,Lithium-air,0,0,0,0.305731707,0,0.093719512,0,0.009359756,0
2000,PHS,0.948384508,0.003226686,0,0,0,0.021738769,0,0,0
2050,Flywheel,0.608582773,0.20239317,0,0,0,0.013558201,0.006416159,0,0
2050,Compressed Air,0.984282243,0.007689705,0,0,0,0.008028052,0,0,0
2050,Hydrogen FC,0.961674445,0.00471409,0,0,0,0.017677839,0,0,0
2050,NiMH,0.1,0.00255,0,0.21,0,0.01769956,0.047101968,0.00255,0
2050,Deep-cycle Lead-Acid,0,0,0,0.1,0.02,0,0,0,0.61
2050,LMO,0.2147,0.0374,0,0.0839875,0,0.1003,0,0,0
2050,NMC,0.2147,0.0374,0,0.0839875,0,0.1003,0,0.076449528,0
2050,NCA,0.007413299,0.243716195,0,0,0,0.124721604,0,0.031307668,0
2050,LFP,0.140880503,0.05,0,0.1,0,0.05,0,0,0
2050,LTO,0.045,0.1398492,0,0.0618742,0,0,0,0,0
2050,Zinc-Bromide,0.15,0,0,0.043,0,0.01,0,0,0
2050,Vanadium Redox,0.106,0,0,0.043,0,0.008,0,0,0
2050,Sodium-Sulfur,0.128,0.227,0,0.08,0.043,0.034,0,0,0
2050,ZEBRA,0.304,0.111334308,0,0.022,0,0.035,0,0,0
2050,Lithium Sulfur,0.0053,0.1838,0,0.0407,0,0.0782,0,0,0
2050,Lithium Ceramic ,0.0053,0.1838,0,0.0407,0,0.0782,0,0.020989311,0
2050,Lithium-air,0,0,0,0.305731707,0,0.093719512,0,0.009359756,0
2050,PHS,0.948384508,0.003226686,0,0,0,0.021738769,0,0,0
