km/km,Hv to Mv,Hv to Lv
Canada,0.39,16.7
USA,0.39,16.7
Mexico,1.03,14.6
Central America,1.07,16.7
Brazil,3.04,16.7
Rest of South America,0.56,16.7
Northern Africa,3.04,16.7
Western Africa,3.04,16.7
Eastern Africa,3.04,16.7
South Africa,3.04,16.7
Western Europe,11.4,19.5
Central Europe,10.7,16
Turkey,3.04,16.7
Ukraine region,3.04,16.7
Central Asia,3.04,16.7
Russia Region,3.04,16.7
Middle East,0.77,16.7
India,1.09,16.7
Korea,3.04,16.7
China,3.04,16.7
South Eastern Asia,3.04,16.7
Indonesia Region,3.04,16.7
Japan,3.04,16.7
Oceania,3.04,16.7
Rest of South Asia,0.56,16.7
Rest of Southern Africa,3.04,16.7
