km,2016
Canada,101867
USA,541650
Mexico,50400
Central America,11067
Brazil,80768
Rest of South America,89050
Northern Africa,91500
Western Africa,30900
Eastern Africa,23050
South Africa,34700
Western Europe,371350
Central Europe,116100
Turkey,50150
Ukraine region,68400
Central Asia,50600
Russia Region,196050
Middle East,127467
India,296650
Korea,11850
China,465500
South Eastern Asia,45800
Indonesia Region,24100
Japan,31300
Oceania,42000
Rest of South Asia,36300
Rest of Southern Africa,33650
