regions,flow,sector,category,elements,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Brazil,inflow,electricity,grid,lines,Aluminium,8.308665762007136,7.4381504190415715,6.540672420051138,5.659786628118853,25.968808997279986,32.51347292094722,40.15380702417378,46.8519820991664,56.81332618302553,44.37474329582212,40.62927135148985,40.64451044541309,41.70340651664613,42.74454892530104,42.40684918722388,41.36978693543619,37.51509529603934,41.27283155407473,35.79634835925664,30.774666421432975,37.70849351170078,38.21650819388708,35.36240152333198,35.41485017260322,40.24540455730429,39.47731668919937,45.14041730685535,46.14451056481912,42.18303566848162,47.63323880032327,44.31132401626459,42.689981204268854,52.45730440627414,64.31000859064045,72.15211606638613,91.33608831221241,109.2223946709393,100.82335789238614,100.21772996259791,89.4354999506536,75.55858362558268,63.27292021322213,65.516070559796,77.43077806108097,70.3546060113503,85.54571895697087,86.02660644895941,77.31778330846181,57.32130959285688,68.4373082330332,70.31636842836993,85.4365185224478,106.99933619123625,130.87986039508328,130.21018171685208,117.48550596588797,104.54996646184092,101.86001855207827,93.50757960372316,100.03062550541217,104.57151416186328,106.46093351125184,100.985662528078,98.50824159964611,96.05915404862272,92.99085314540679,90.8252630412189,88.54003738589478,86.63914990912181,85.10311786681824,82.49874344276836,81.97738758811853,82.71474062296508,82.74869399923713,83.22283353588382,86.8504924333046,89.19873133372205,91.52750463286814,94.5891691318201,95.77460782009291
Canada,inflow,electricity,grid,lines,Aluminium,33.49333587901367,29.183562175211588,24.850175813118742,20.65943349540285,51.19518541854783,54.83085178802732,62.1386050003386,74.82170691364534,82.4698833256686,54.63596773733994,56.68535048180601,58.19778603419596,48.854980450943636,61.41227679349938,66.63589271144747,68.82295783165837,70.81575367115458,69.46741749758341,51.73134585762938,50.803398221740395,44.631552858924614,44.93437610652824,52.16474413217537,52.76412798763856,45.253599504655426,61.260040477979835,55.218013371386455,51.03483473913628,53.05101874185871,59.81220674033369,37.63806353060297,41.60139272780737,44.691273759621176,42.897618719761404,38.751142730801504,46.394433514376594,45.77815861324589,48.930079488717986,62.75400037367313,65.55786874089934,70.65818988255371,72.5090159943131,74.74907103925881,77.73651087670952,71.87401593183597,62.76370440918717,56.721473466713164,47.470743759765085,31.201868910624,31.85001861411334,32.720683571037945,33.330147707284574,33.40764940865456,33.24782820365794,32.4738877348426,30.785993246942404,29.221204688788557,27.807013719940464,26.472780894108467,25.053922049695373,23.069550358326076,25.67201596236098,28.24590946788472,30.535601543426036,37.06135120872752,44.84640607259397,49.712348319718615,55.78540183886909,65.64256350689449,68.87552412218857,67.9682434455415,68.4902826974639,69.53170436336121,67.71913940905537,69.51694994067664,76.32069548756392,81.09033553512629,86.15627707412816,92.37003940548384,98.77663982262436
Central America,inflow,electricity,grid,lines,Aluminium,2.369307095604498,2.1273515470138586,1.8903614578795678,1.6549970248476829,1.7245165775273998,1.6514660124562022,1.464686900253444,1.8663353872141577,2.0984606391375524,2.0729127528768965,3.1338059963617133,3.4059239899213276,3.1391062959509153,3.8128453021378306,4.394603804383758,4.763103239205469,5.630852631130565,6.856697176583231,6.716702556779666,6.291387998176918,5.186995247535808,4.674207304875001,3.8051724133689087,3.9550863293831338,5.028465437609606,6.480429604166149,8.34191151006538,9.510802031920015,11.023356372528088,10.610115801502236,9.415321215383361,8.834569479678331,9.309163989247166,8.321195708445249,10.634132039664493,13.5054149279549,15.307480763294494,15.488087650541212,16.6850287835499,14.324723279697821,13.101714679870174,11.734472839333478,10.33629675697201,9.36182670814358,8.475037107747603,6.461994514437126,4.97167939748803,5.52300901400603,7.291425722384696,10.129380935614257,13.555535929478367,16.85351327423218,19.400282187175446,19.88167292880762,20.725020879084475,21.070490759085022,21.558833442972123,22.292347607918238,23.946144374663636,26.694197891296486,29.89694749447645,33.54513049223993,38.10024327215581,43.046427474033,48.33100861390246,53.84822320836492,59.689114966861396,64.48004890484471,67.80604091653481,69.2312915812561,69.2755972420305,67.85562965718498,65.35085781672659,62.15134684868203,58.99824377700783,56.14261352986941,53.78288772216711,52.676101902126895,52.809667673017906,53.28184753884408
Central Asia,inflow,electricity,grid,lines,Aluminium,15.691985648087858,14.146474101424683,35.76866238371461,57.37679945316335,79.02868075044242,100.3617389461125,125.37945693485388,106.93599144759484,83.20240396878704,62.034508289394694,38.46043510151442,12.363589824754794,6.360855506188461,10.926495184259752,10.867183272837726,10.820033391932114,12.30008137921801,15.809705562799397,10.5491179886147,11.909878006666904,12.060536096004169,11.337855057015279,9.907847429346011,16.668401712753816,12.74598074616982,12.448239131075855,12.341652604517577,11.228886713406201,5.471418099189822,5.836059369238045,6.607490235310879,7.627113869022226,8.796244353198928,10.152491054731554,11.739373281556892,13.381852459480662,15.029083944167793,14.672833033364686,16.92770568191274,15.518889361700317,28.771019855310655,49.71852590787387,74.40500045944556,100.18390691052976,130.5035700589258,133.24614209181294,117.50393124087327,101.16481183565129,79.70783607938365,59.54419048668575,53.417907930162514,57.28610824903682,61.45252949220396,64.23159082849543,63.659292023325875,60.86972749854027,57.186322874080886,50.53925606891506,45.95312711215905,41.47793888526449,37.09806279695558,33.25279628453572,31.627740585111585,29.929284943467984,29.4295116125145,29.576046749875157,30.154651053734696,28.379306394268372,27.119881295439395,23.65192455508255,22.97998454640116,23.619203100059188,25.52054006734415,28.260649847625007,33.624737196660305,35.76956284144127,35.38627363450053,33.93114054183644,30.558457313916545,24.876215709719073
Central Europe,inflow,electricity,grid,lines,Aluminium,25.257390540166707,22.8231840613573,20.366196256934167,22.592835418582485,39.93955701946329,46.01619858060711,60.007095552108645,75.93475656043569,83.96508516447446,78.6298410623033,76.98005933753444,69.7581392446173,59.83455561409671,57.95894449362266,56.30348040113324,68.0794372417832,84.81528501362384,95.09982800561754,97.46021919574953,123.01847584962316,124.31234406898561,101.55945713294052,83.81017374042878,69.88581078750016,43.270890736451676,36.831776895124634,45.17780587916664,58.23039754526343,75.22745055437726,78.03969673890434,75.9373298219074,87.63856564531056,97.72662478855514,102.0264541774819,112.1375145840308,124.90641701464288,120.61752677326399,112.31261947605253,106.05012732980273,95.36593008735937,81.26331878175466,82.08282438860265,90.81813021997722,91.93073621256784,88.9525033318106,87.08000927393125,72.7870646155668,51.2136650355277,36.16428409834963,25.36111089832042,16.72283046741011,13.778227425769026,13.197044035163062,13.080326129951175,13.336175531579032,14.3373260225005,15.538619610251917,17.336829604885548,23.112394236289713,31.715146172964772,40.99428751862472,50.427776979010964,61.012970883541556,72.84372062989566,84.30301593957024,85.52156703505663,86.8714562566573,85.04674203784182,76.79937645982852,67.66542498384237,67.34212023671347,69.00229613381366,73.26788583556208,78.82007721913483,83.20133348057958,88.7130532065211,91.05102681634112,92.3072165502014,93.07614994837297,92.18238180770847
China,inflow,electricity,grid,lines,Aluminium,14.383554896538447,12.968578281048362,11.532053333306827,10.092654608517025,21.352929970037557,19.31500023751043,20.24712665470025,19.12802141849974,20.73923116963601,17.618113585565343,32.09866843685791,52.66288302115326,75.66359393542248,88.07324170787766,93.29579717293647,86.05909522404173,68.3593710926207,59.964035163877945,63.34289269505518,74.91423493302055,81.74772802598577,98.441970862869,109.29127037500155,134.19053724134062,154.25720489431575,167.57978746119116,180.05429702400215,194.52207654774523,164.5687477627074,136.70525221848314,136.74339827361374,153.54918903893042,181.34415988938073,243.32981170039335,328.1964286090895,408.5510699388641,488.25059657109944,584.6508517620025,703.1938501512686,771.9085257051194,822.4432583934018,847.4380623095848,941.5678549571566,969.1056973045281,918.0185266985428,851.9725246689501,754.3768603655044,516.47305792029,316.38682796750055,246.8655826703428,256.82232909689606,239.72083119566554,263.57343158163866,296.99155045443507,299.76271754223296,254.5084036747713,268.62587612093637,266.9484631767939,238.18436974012437,208.5341604005993,190.58645054142983,179.3087168004808,202.74433330176294,263.5514993528143,340.66678385504156,421.5777504383875,508.24789303356397,563.549451987726,590.5833214302759,601.7799056701365,591.7491098853201,569.5721447901968,553.1605330858499,540.0133652037495,524.3425960563917,510.2288527292473,494.7301185662005,482.7298762357645,476.6683876250532,471.1503926698662
Eastern Africa,inflow,electricity,grid,lines,Aluminium,1.9280877767199152,1.7393928869000552,1.5491240551712353,1.3555516058314012,6.293848722395892,6.222096124252667,7.269903776174524,10.174357884676184,12.715200596687922,7.770183391788971,10.72750603673896,11.750441330794661,11.4657143508864,10.220649296228814,12.793064388881701,10.509666103148623,9.763678260207081,9.897801016348987,10.43583978634378,7.885108961031099,8.947382938022924,9.36983450590217,9.266526093159873,8.748276662196352,10.200632928787943,11.989932169798042,11.196536764211396,11.669805381859746,13.429445984197011,13.919579590752091,12.408375543643709,13.661074419731108,11.819716691464256,9.071965408877697,7.199746392757381,6.111090212751062,5.067991029416794,5.0038081476391785,35.615533056736304,47.10920302381449,49.933986855330176,58.1181755536903,61.00453802982018,37.93887456438971,27.23760311572067,24.222078429045013,18.63760611003998,24.507692500762857,23.915901052776725,37.76330403002213,54.093259523390586,73.23421455392773,85.06240403322586,90.43169835641484,95.46381920334727,99.70746433228372,101.18479545368267,99.6428022128242,108.76599061215518,110.43235620122942,114.835838381116,116.0750394619397,124.70963363478276,133.45883151530472,145.2301204522945,156.45624264757808,170.2060250124795,181.60675940742908,191.14520807381834,195.0160162583236,201.1363952384812,203.46608849031963,200.5267007367158,197.34345459090275,200.73906735709878,202.33968513519812,209.95605577676307,226.6984004217375,247.44482300352382,267.89963204087945
India,inflow,electricity,grid,lines,Aluminium,30.03259652236876,27.111330270296772,24.13774350205333,21.136309133527877,29.65368974835882,28.690082176052083,35.500930707780974,56.85493571668612,55.09554224492576,41.79874363821048,45.447165183927844,36.52090166831747,17.66254907362931,28.58320461222973,36.12610506445942,36.839019598165414,51.299707359587714,71.6425110906734,86.74685878469093,123.26716048059771,138.44682283387317,139.3252156890613,140.0048157128664,169.83998660616723,152.94036963829606,164.82832942291918,216.28131344081558,249.70203623274227,245.27814664821486,262.64777202261416,258.98613914910663,200.18447320786137,156.50176293464267,133.58832126880358,126.50524018462315,139.23908213571184,173.69977185231187,217.090722176032,246.08657119001126,275.3016557238006,330.7973508670329,394.7327513435385,458.0126950846958,528.8704730303821,573.9691299923617,575.015808938061,543.9860535566962,473.2415568071525,395.633735978125,343.0838275203822,318.2550751009078,329.843278597832,371.91749245826935,416.39542212415085,453.47807693323267,485.39112370431366,513.2893086363173,539.3112915206812,574.9065605268389,623.3516781262008,662.1636397686781,700.2312421377216,753.921992075303,816.3746963042998,895.1287588824193,1014.0556956969378,1161.0436699124436,1302.0687481380005,1435.1969622118947,1547.7516690995521,1596.4951777214728,1628.8439424342332,1658.1566069548423,1675.2074207317037,1678.4669166628385,1700.048996667356,1698.79149885435,1683.9001513261428,1666.583417214612,1642.8932510533389
Indonesia Region,inflow,electricity,grid,lines,Aluminium,0.3533522142572966,0.3184201865575725,0.28296407391659856,0.24713234225903402,0.8986859853452532,0.8501685949078763,0.8454371553469712,1.1271539935008867,1.3170432425056313,0.8754741343905875,1.9736340183549965,2.1744979851651633,2.1969478478520883,2.5554983111154757,3.664546454174375,4.942983134042484,5.37319588276489,6.849071942762413,8.97904542026661,8.142985828757356,7.83413226109583,11.739029841187051,11.549511732279896,10.894678848503164,13.20571149515607,12.533852718479533,10.553641312332662,14.624305052926013,17.59273363623642,22.1899554762724,27.669318375374303,30.501635522104653,29.484919156095877,28.309926431937736,22.58270550082771,18.97309469528872,17.798002634085325,16.46972464630546,17.293105883957296,20.219348164904172,20.021562998726328,20.947085235922533,26.847961058494157,30.130650587657342,35.247954345212875,43.49853886516413,47.65447840198926,47.80684376565927,49.10720672338721,49.849464669655546,51.93313492176335,59.05312423770697,68.99857328250863,81.56036909504618,94.42329667112254,105.03041563669163,112.77474004834484,117.20023746930389,118.46938844227996,118.2687047565142,118.89665332919274,121.21752860186375,127.6516039825603,138.78495262867528,152.3965483858307,165.0301973485236,174.8224414857677,177.72730515460808,173.3616817107279,164.50265057961678,154.8326812649078,144.87095515413827,134.14174044881682,123.30631169032854,111.6457033914027,98.2767717472405,84.58865651459705,74.43362227113384,67.48965914671483,62.276742827904314
Japan,inflow,electricity,grid,lines,Aluminium,12.782429664996398,11.50728835246902,10.199816670659127,9.043941908976409,9.792769655113487,8.587982226068409,8.520346504465573,8.213003220743628,7.775518588962129,8.886558887586233,9.21131745904741,9.656802536772647,12.853323050636668,15.950890035880853,14.437713504026988,15.72138655420708,16.75785411936027,17.88475971063062,16.72239577279127,17.108409894392377,19.98201174315763,20.804093734066218,20.846933775855028,22.09833953052368,22.62606389574636,23.332447914122326,25.464633439779,27.411868935180767,28.636600517119067,27.497062056141424,24.264108839200922,22.24621620429628,18.036684561201213,17.351092582685897,20.544903483753554,21.259769247273965,20.133444733850904,20.429074398137853,20.694283956054793,16.719080786658843,15.325055686623516,16.66123955472916,20.074189590351864,24.200648738621407,24.68225003562222,24.460439846809102,21.986246682191727,16.510536643680503,8.621876250185144,7.36886904000514,6.006640924972742,5.921758580607977,5.827544329548277,5.69951738603179,5.455668313164596,5.125308920930396,4.800681463414058,4.349826497244626,3.742148535151243,3.0015679579272776,2.1447129014237962,1.3335037485775734,2.093184413402662,5.420792241160646,11.11797950364283,13.405495777268,17.057589660506473,19.325543803287673,19.388673204945967,18.277020024630094,20.94917222525639,22.416937639823608,23.88598094496033,25.34181602205775,25.80156729911417,25.98220639999462,25.87449039204312,25.329726151190236,24.590437661194137,23.862024862295954
