type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
aboveground,1971,33005.66352,191581.8456,6427.555077,1915.1151,6926.764328,15247.64417,7737.573896,3671.574948,1559.395459,4337.45177,98080.44851,14849.15746,2852.309165,4398.295364,12508.36037,26797.88236,12315.58894,31990.26919,655.6930811,19721.12633,1428.719444,174.7080083,7901.638063,6664.978407,1714.723365,1587.803102
aboveground,1972,32786.31721,189873.7031,6427.555077,1915.1151,6926.764328,15247.64417,7737.573896,3671.574948,1559.395459,4337.45177,98080.44851,14849.15746,2852.309165,4398.295364,12508.36037,26797.88236,12315.58894,31990.26919,655.6930811,19721.12633,1428.719444,174.7080083,7901.638063,6664.978407,1714.723365,1587.803102
aboveground,1973,32466.01988,187976.4834,6427.555077,1915.1151,6926.764328,15247.64417,7737.573896,3671.574948,1559.395459,4350.770763,98080.44851,14849.15746,2852.309165,5734.277405,15785.13239,27984.98765,12315.58894,31990.26919,655.6930811,19721.12633,1428.719444,174.7080083,7901.638063,6664.978407,1714.723365,1587.803102
aboveground,1974,32316.93837,188527.3579,6427.555077,1915.1151,6926.764328,15247.64417,7737.573896,3671.574948,1559.395459,4364.089788,97901.54056,15335.56085,2852.309165,7070.259294,19061.90297,29172.09402,12315.58894,31990.26919,655.6930811,19721.12633,1428.719444,174.7080083,7901.638063,6656.741023,1714.723365,1587.803102
aboveground,1975,38229.04707,198235.4555,6581.613618,1960.230075,10063.15902,16728.5584,8179.070365,4546.874635,2294.064755,4958.769773,104649.3156,17399.20972,3762.768378,8543.208152,22345.86838,30581.23339,12624.27093,34177.69656,711.3625091,22809.93633,1482.816016,234.9087666,8134.324622,7447.58585,1922.820958,3648.62558
aboveground,1976,39455.86515,194853.9315,7176.452983,1986.152226,11173.96191,16757.52737,8622.778877,4833.753993,2312.623036,5531.922009,103815.496,18294.04637,4439.051544,9863.543574,25598.82071,31858.45174,12697.54525,34580.52547,721.9638458,22677.97681,1500.365892,233.8936734,8158.807701,7318.419938,2125.753409,3888.80947
aboveground,1977,40424.54021,194726.0925,7869.692946,1943.438374,12278.29896,17080.46904,9057.807315,5057.200291,2457.060512,5853.594992,107867.543,19687.13464,4460.785602,11198.84467,29097.14203,34158.13197,12727.6217,35757.28427,715.732273,22835.15627,1468.64935,232.8785806,8133.854867,7191.562293,2101.625557,4352.450231
aboveground,1978,42339.11762,195007.1227,8080.010894,1996.062883,13239.97555,17401.95168,9082.741214,5075.224073,2867.26704,6115.871419,107238.8528,21286.0229,4648.765667,11223.65541,29736.70694,36080.40727,13318.23665,39680.47346,759.6860224,22501.82835,1437.024587,257.0119481,8060.441667,7135.786113,2489.075158,4326.340654
aboveground,1979,43420.25407,196321.4125,8337.380843,2024.092952,14702.53385,18031.19377,9353.64101,5750.120927,3226.027572,6378.144326,108970.8794,22561.74907,4893.780796,11202.84831,29628.25276,37493.91236,13026.88037,39237.60228,818.9626481,22839.72543,1462.324202,273.1550738,7991.53028,7562.395926,2651.448643,4368.82322
aboveground,1980,44395.11249,199337.2018,8699.526747,2059.493964,15999.85122,18947.44176,9526.998018,6337.565535,3248.946798,6626.780373,108572.9096,24035.42505,5170.795889,11205.32648,29901.62436,39673.01334,12735.52341,38834.12777,870.1263428,25124.31332,1483.883214,294.3365412,8313.339606,7654.002514,2774.751101,4359.956062
aboveground,1981,45902.32696,200327.2439,10372.71815,2232.884394,16491.42137,18880.27564,9886.627465,6433.789283,3686.721736,6935.045413,110142.0524,24735.66002,5507.911613,11259.26933,29797.09755,41386.22344,12664.76669,39855.90133,957.5405092,28465.87556,1603.294595,389.2505045,8338.08302,7747.364689,2840.120194,4497.711749
aboveground,1982,47055.79915,205594.3507,10639.50983,2232.830649,17573.82293,19526.60613,10830.34667,6584.935454,3974.097596,7135.924512,109474.206,25358.03248,5925.127717,11336.71394,29550.82474,42408.85816,12496.47967,39280.15308,1049.446517,33579.32945,1681.406412,405.3914831,8326.781677,7910.890789,2921.449217,4635.468485
aboveground,1983,47286.87167,205376.5627,10869.1297,2242.634919,18653.59474,20478.6634,11977.08292,6722.060833,4340.939827,7336.806808,112609.2778,25904.19109,5944.424673,11434.09387,29302.87155,43513.81089,12615.44662,39593.35052,1140.823899,38803.0177,1699.243596,431.2711341,8596.581332,8361.709375,3174.884335,4773.224183
aboveground,1984,50486.28361,201142.595,11100.33516,2365.012368,20256.94354,21281.92825,12919.95246,6859.186134,4518.416594,7937.071483,115108.5322,26959.67934,6030.402287,11720.78766,29820.26566,46146.06972,13032.20901,41177.50847,1156.358106,42141.30386,1941.522491,478.6717534,8858.567992,8747.299857,3614.948854,4893.738389
aboveground,1985,52306.1046,204075.0901,11732.10259,2481.918118,21494.49997,22154.33398,13857.08105,7399.70544,4906.295064,8616.020522,116575.6188,28235.23669,6104.41145,12024.92988,30053.94335,48182.35151,13555.53764,42147.91686,1387.110325,45681.8152,2036.050817,596.8733528,8991.952546,9207.968881,3649.756295,5014.251673
aboveground,1986,54152.32195,205686.2387,11982.27004,2705.085832,21883.5861,24055.94046,14787.5827,8272.927317,5015.461488,8856.743504,117772.9139,30122.64652,6181.829985,12231.24386,29912.05444,49630.18183,14944.60286,43260.62872,1570.650994,47256.97499,2258.994247,803.8965826,9143.391993,10042.67737,3932.811553,4988.142096
aboveground,1987,55609.66127,208614.8981,12120.92178,2828.025442,22398.5966,26047.52305,15979.42575,8280.673278,5194.834386,9114.921055,120882.9451,32453.51245,7628.60506,12599.05052,29878.36576,52301.24874,17503.24789,45372.60984,1659.283751,48069.57563,2344.805342,857.8029604,9228.268848,10580.2179,4197.292787,4962.03125
aboveground,1988,55409.46161,208132.7315,12757.85723,3011.705479,24044.32033,25710.99026,16961.83247,8663.935871,5578.770193,10192.0659,124815.1473,34046.57649,11197.87816,12800.11116,30126.36823,54541.55594,19032.77205,49491.69864,1727.660499,51250.58347,2482.523407,1013.205724,9585.728679,11293.18727,4798.421625,4935.921673
aboveground,1989,55499.96246,209141.0915,14239.97628,3111.980536,24824.25113,25400.7031,18134.10248,9620.21415,5831.9948,10347.98477,124108.7748,35334.89614,11699.34432,12977.73765,29877.77583,55668.51271,20665.24279,53894.47969,1945.383024,55387.26451,2790.253496,1247.975986,9694.797423,11774.39038,5183.003514,4909.810827
aboveground,1990,57143.66911,207275.1753,15456.64071,3164.631442,25211.73737,26826.77597,19233.75985,9569.629403,5853.036749,10420.57322,124677.847,39268.2359,12202.58041,13219.77377,30294.54992,56585.07229,23134.91693,61722.16224,2163.607031,61724.60585,3087.575779,1293.32321,9850.355964,12204.67685,5402.749737,5433.904012
aboveground,1991,57703.88291,215104.6078,16784.64111,3225.519794,26592.21809,28262.36176,20240.5858,9519.044544,6110.986235,10429.87004,125870.1522,41098.7428,12699.34393,13311.26955,30039.59747,57762.42608,25211.81685,65651.66708,2289.234828,64953.18928,3335.471189,1474.035066,10294.30703,12866.79116,5715.248038,5752.216136
aboveground,1992,59189.44486,224786.1229,18342.66557,3271.177917,27147.6433,28205.07993,20666.3074,9571.466666,6346.697834,10358.76404,126549.3493,40837.7448,13178.18709,13518.57886,29784.63697,58834.22501,26780.46424,67895.2973,2414.862551,69836.21839,3677.420856,1872.030412,10466.93757,13170.815,6422.675907,5726.105406
aboveground,1993,60353.44993,235309.5842,19061.75266,3326.430526,28378.62406,30329.06644,21813.21954,9520.881695,6712.66522,10537.40117,128821.0759,40500.40163,14631.99315,13684.0913,29701.83417,60008.09895,27934.56816,72093.48455,2532.637764,75678.70685,4143.326511,2011.646545,10843.19664,13351.68871,6775.433095,5699.995598
aboveground,1994,60354.65484,245348.8853,19834.89512,3445.683745,29162.00775,32773.22345,23284.88997,9470.296836,6886.876728,10748.8873,130198.1037,40261.10158,14873.85655,13877.65849,30287.00775,60778.29811,29574.45724,82090.91121,2670.280446,85939.49629,4706.136209,2189.704025,11094.35085,13820.44344,7675.883502,5673.884867
