regions,flow,sector,category,elements,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Brazil,inflow,electricity,grid,lines,Aluminium,8.308665762007136,7.4381504190415715,6.540672420051138,5.659786628118853,25.968808997279986,32.51347292094722,40.15380702417378,46.8519820991664,56.81332618302553,44.37474329582212,40.62927135148985,40.64451044541309,41.70340651664613,42.74454892530104,42.40684918722388,41.36978693543619,37.51509529603934,41.27283155407473,35.79634835925664,30.774666421432975,37.70849351170078,38.21650819388708,35.36240152333198,35.41485017260322,40.24540455730429,39.47731668919937,45.14041730685535,46.14451056481912,42.18303566848162,47.63323880032327,44.31132401626459,42.689981204268854,52.45730440627414,64.31000859064045,72.15211606638613,91.33608831221241,109.2223946709393,100.82335789238614,100.21772996259791,89.4354999506536,75.55858362558268,63.27292021322213,65.516070559796,77.43077806108097,70.3546060113503,85.54571895697087,86.02660644895941,77.31778330846181,57.32130959285688,68.4373082330332,65.99590551656881,76.75320038379019,93.92631047419341,113.38104389123836,108.31912036612405,95.50325582260861,82.58585453077859,80.02772817775404,72.0567421850767,79.15958925763066,84.54785541126238,87.29774666683022,82.6815431375241,80.5979251655637,78.17050299100573,74.75384256758875,72.03861443880682,69.01766654083312,66.65391629404549,64.96517966046459,62.681690791402126,63.00604795376613,64.99158455939777,66.42449971723603,68.56880368632777,73.60380433272505,76.92265327197349,79.88933987690392,83.30826843437984,84.06989439498487
Canada,inflow,electricity,grid,lines,Aluminium,33.49333587901367,29.183562175211588,24.850175813118742,20.65943349540285,51.19518541854783,54.83085178802732,62.1386050003386,74.82170691364534,82.4698833256686,54.63596773733994,56.68535048180601,58.19778603419596,48.854980450943636,61.41227679349938,66.63589271144747,68.82295783165837,70.81575367115458,69.46741749758341,51.73134585762938,50.803398221740395,44.631552858924614,44.93437610652824,52.16474413217537,52.76412798763856,45.253599504655426,61.260040477979835,55.218013371386455,51.03483473913628,53.05101874185871,59.81220674033369,37.63806353060297,41.60139272780737,44.691273759621176,42.897618719761404,38.751142730801504,46.394433514376594,45.77815861324589,48.930079488717986,62.75400037367313,65.55786874089934,70.65818988255371,72.5090159943131,74.74907103925881,77.73651087670952,71.87401593183597,62.76370440918717,56.721473466713164,47.470743759765085,31.201868910624,31.85001861411334,29.30112814320948,26.62338528680046,23.570802270855918,20.44766465146488,16.896677114007392,16.04167150407942,15.254055467414705,14.547810174747518,13.914659030639235,13.306818885257762,12.634944049506773,14.02791563589362,15.452454805126449,16.789245639301384,21.283809396112467,26.616552144901245,32.04491006469944,39.24110759738801,51.14567545253047,57.15866443895787,59.55716301760605,64.35331406453022,69.79604557834635,71.30875341546265,76.89978003808203,86.84240075486828,93.68837025762656,100.5800674915483,109.01937717517286,117.47698481883288
Central America,inflow,electricity,grid,lines,Aluminium,2.369307095604498,2.1273515470138586,1.8903614578795678,1.6549970248476829,1.7245165775273998,1.6514660124562022,1.464686900253444,1.8663353872141577,2.0984606391375524,2.0729127528768965,3.1338059963617133,3.4059239899213276,3.1391062959509153,3.8128453021378306,4.394603804383758,4.763103239205469,5.630852631130565,6.856697176583231,6.716702556779666,6.291387998176918,5.186995247535808,4.674207304875001,3.8051724133689087,3.9550863293831338,5.028465437609606,6.480429604166149,8.34191151006538,9.510802031920015,11.023356372528088,10.610115801502236,9.415321215383361,8.834569479678331,9.309163989247166,8.321195708445249,10.634132039664493,13.5054149279549,15.307480763294494,15.488087650541212,16.6850287835499,14.324723279697821,13.101714679870174,11.734472839333478,10.33629675697201,9.36182670814358,8.475037107747603,6.461994514437126,4.97167939748803,5.52300901400603,7.291425722384696,10.129380935614257,13.065120471969403,15.919764589405265,18.07187636497581,18.208568133347573,18.76408164664928,19.381265246262362,20.167764418805138,21.23087529318678,23.26005988683742,26.433502824143154,30.097322022707473,34.22796134627762,39.31173758008546,44.80254424421781,50.605121103117554,56.58177126839937,62.795706580236974,67.79705984609663,71.17682402442372,72.52821092669878,72.3856058330545,70.73438916566174,67.98997371783037,64.54948879812645,61.18259987417211,58.169385891212684,55.67961370879953,54.48709530995273,54.57492216852531,55.00225648963229
Central Asia,inflow,electricity,grid,lines,Aluminium,15.691985648087858,14.146474101424683,35.76866238371461,57.37679945316335,79.02868075044242,100.3617389461125,125.37945693485388,106.93599144759484,83.20240396878704,62.034508289394694,38.46043510151442,12.363589824754794,6.360855506188461,10.926495184259752,10.867183272837726,10.820033391932114,12.30008137921801,15.809705562799397,10.5491179886147,11.909878006666904,12.060536096004169,11.337855057015279,9.907847429346011,16.668401712753816,12.74598074616982,12.448239131075855,12.341652604517577,11.228886713406201,5.471418099189822,5.836059369238045,6.607490235310879,7.627113869022226,8.796244353198928,10.152491054731554,11.739373281556892,13.381852459480662,15.029083944167793,14.672833033364686,16.92770568191274,15.518889361700317,28.771019855310655,49.71852590787387,74.40500045944556,100.18390691052976,130.5035700589258,133.24614209181294,117.50393124087327,101.16481183565129,79.70783607938365,59.54419048668575,50.598599979597324,51.73546818460399,53.251912818357795,53.40718902516122,50.26542985650077,47.78125908392244,44.36248807672426,37.909305358193315,33.52194483331189,29.196071456002034,24.882508939755578,21.016733891111315,19.42263185459996,17.701731309748173,17.20692518155231,17.40839706260497,18.23620488341055,16.986856795636168,16.269287067322875,14.122462578995105,13.450180710399103,13.68655925776053,14.810158030836575,16.972311681130197,21.33614043441587,24.238728589710522,25.36054433490866,25.906128581640825,24.545309834099875,20.20466071435501
Central Europe,inflow,electricity,grid,lines,Aluminium,25.257390540166707,22.8231840613573,20.366196256934167,22.592835418582485,39.93955701946329,46.01619858060711,60.007095552108645,75.93475656043569,83.96508516447446,78.6298410623033,76.98005933753444,69.7581392446173,59.83455561409671,57.95894449362266,56.30348040113324,68.0794372417832,84.81528501362384,95.09982800561754,97.46021919574953,123.01847584962316,124.31234406898561,101.55945713294052,83.81017374042878,69.88581078750016,43.270890736451676,36.831776895124634,45.17780587916664,58.23039754526343,75.22745055437726,78.03969673890434,75.9373298219074,87.63856564531056,97.72662478855514,102.0264541774819,112.1375145840308,124.90641701464288,120.61752677326399,112.31261947605253,106.05012732980273,95.36593008735937,81.26331878175466,82.08282438860265,90.81813021997722,91.93073621256784,88.9525033318106,87.08000927393125,72.7870646155668,51.2136650355277,36.16428409834963,25.36111089832042,16.72283046741011,13.778227425769026,13.197044035163062,12.743776989802939,12.393327048197843,12.374638392133749,12.43854520713516,12.836727232140616,15.611703372012135,20.108063863102657,25.247316223369232,30.5373315877041,36.515952761671,46.58700140944059,58.946597806185764,59.72840898724268,61.41111451279235,60.72191085552961,53.34605164144753,45.01556833728932,48.52322707519589,54.85293620082058,64.80209231276866,76.45266072301801,86.40129181096012,96.60040055237513,102.05148454961679,105.35245211784945,106.7981237281206,105.144256171401
China,inflow,electricity,grid,lines,Aluminium,14.383554896538447,12.968578281048362,11.532053333306827,10.092654608517025,21.352929970037557,19.31500023751043,20.24712665470025,19.12802141849974,20.73923116963601,17.618113585565343,32.09866843685791,52.66288302115326,75.66359393542248,88.07324170787766,93.29579717293647,86.05909522404173,68.3593710926207,59.964035163877945,63.34289269505518,74.91423493302055,81.74772802598577,98.441970862869,109.29127037500155,134.19053724134062,154.25720489431575,167.57978746119116,180.05429702400215,194.52207654774523,164.5687477627074,136.70525221848314,136.74339827361374,153.54918903893042,181.34415988938073,243.32981170039335,328.1964286090895,408.5510699388641,488.25059657109944,584.6508517620025,703.1938501512686,771.9085257051194,822.4432583934018,847.4380623095848,941.5678549571566,969.1056973045281,918.0185266985428,851.9725246689501,754.3768603655044,516.47305792029,316.38682796750055,246.8655826703428,237.3486098015254,205.95097451004764,214.55211856271725,231.1623074749869,218.2242214483007,177.69626267868023,192.114722302226,193.46553336288082,181.509369886738,167.56841366169704,151.26399095390906,145.4403280070447,179.3015871672611,245.8410142599001,337.60796245014615,453.21008633101815,573.2622144454016,653.0633819128392,692.3125185552581,701.307511871078,677.9088346451973,636.2809616368852,600.6660600428656,572.175110267458,546.4908552555247,525.4732183994738,505.0497239279156,489.8402494416229,481.34904168919536,472.67792684914826
Eastern Africa,inflow,electricity,grid,lines,Aluminium,1.9280877767199152,1.7393928869000552,1.5491240551712353,1.3555516058314012,6.293848722395892,6.222096124252667,7.269903776174524,10.174357884676184,12.715200596687922,7.770183391788971,10.72750603673896,11.750441330794661,11.4657143508864,10.220649296228814,12.793064388881701,10.509666103148623,9.763678260207081,9.897801016348987,10.43583978634378,7.885108961031099,8.947382938022924,9.36983450590217,9.266526093159873,8.748276662196352,10.200632928787943,11.989932169798042,11.196536764211396,11.669805381859746,13.429445984197011,13.919579590752091,12.408375543643709,13.661074419731108,11.819716691464256,9.071965408877697,7.199746392757381,6.111090212751062,5.067991029416794,5.0038081476391785,35.615533056736304,47.10920302381449,49.933986855330176,58.1181755536903,61.00453802982018,37.93887456438971,27.23760311572067,24.222078429045013,18.63760611003998,24.507692500762857,23.915901052776725,37.76330403002213,52.86185012135328,70.73797782667084,81.27946701532746,85.36245400809432,89.10870232088162,93.31471088058188,94.8548679843759,93.4715412850258,102.85748408503912,104.828484363733,109.59988397117068,111.16144783281163,120.25562307308775,129.45864307514788,141.78626785441898,153.62810763792424,168.06464784394012,179.98667446799382,189.9356528363627,193.92111257383587,199.6490591942113,201.4212842694736,197.6438163268694,193.60209005441928,196.50010419649772,198.19800353985846,206.225616230005,223.85393258528828,245.67324934923096,267.1306381851308
India,inflow,electricity,grid,lines,Aluminium,30.03259652236876,27.111330270296772,24.13774350205333,21.136309133527877,29.65368974835882,28.690082176052083,35.500930707780974,56.85493571668612,55.09554224492576,41.79874363821048,45.447165183927844,36.52090166831747,17.66254907362931,28.58320461222973,36.12610506445942,36.839019598165414,51.299707359587714,71.6425110906734,86.74685878469093,123.26716048059771,138.44682283387317,139.3252156890613,140.0048157128664,169.83998660616723,152.94036963829606,164.82832942291918,216.28131344081558,249.70203623274227,245.27814664821486,262.64777202261416,258.98613914910663,200.18447320786137,156.50176293464267,133.58832126880358,126.50524018462315,139.23908213571184,173.69977185231187,217.090722176032,246.08657119001126,275.3016557238006,330.7973508670329,394.7327513435385,458.0126950846958,528.8704730303821,573.9691299923617,575.015808938061,543.9860535566962,473.2415568071525,395.633735978125,343.0838275203822,305.05064836739973,303.6256196052396,332.93025835661655,364.87522898166776,389.61616631139503,422.5228832939321,451.50053633656285,479.05682306891373,517.2327079303858,569.7480536575399,614.8275279965885,661.7493540765433,726.8859028454868,802.4249875399759,895.3105808292902,1026.921243385514,1183.5966179659313,1329.5915349485617,1463.5128519220864,1573.405550725432,1620.477672875389,1651.907357477763,1682.1726209946717,1701.4957102494193,1707.751390350701,1730.1889104969594,1728.5762378814054,1712.1838342223884,1692.2599747598883,1664.642305661385
Indonesia Region,inflow,electricity,grid,lines,Aluminium,0.3533522142572966,0.3184201865575725,0.28296407391659856,0.24713234225903402,0.8986859853452532,0.8501685949078763,0.8454371553469712,1.1271539935008867,1.3170432425056313,0.8754741343905875,1.9736340183549965,2.1744979851651633,2.1969478478520883,2.5554983111154757,3.664546454174375,4.942983134042484,5.37319588276489,6.849071942762413,8.97904542026661,8.142985828757356,7.83413226109583,11.739029841187051,11.549511732279896,10.894678848503164,13.20571149515607,12.533852718479533,10.553641312332662,14.624305052926013,17.59273363623642,22.1899554762724,27.669318375374303,30.501635522104653,29.484919156095877,28.309926431937736,22.58270550082771,18.97309469528872,17.798002634085325,16.46972464630546,17.293105883957296,20.219348164904172,20.021562998726328,20.947085235922533,26.847961058494157,30.130650587657342,35.247954345212875,43.49853886516413,47.65447840198926,47.80684376565927,49.10720672338721,49.849464669655546,50.77655058841315,57.034155177328444,66.45349370063137,78.81661136860106,91.75098432848446,103.7801705133682,112.7729842997516,118.17597677165817,120.15361758585024,120.49963714227538,121.62853558539803,124.50031737234798,131.599507814343,143.4173478410718,157.56093011665644,170.41288794306192,180.07672062760037,182.51967497001075,177.52262494985393,167.97976383837963,157.71366846547633,147.26293866045168,136.08169851895926,124.76452734429186,112.62430172029447,98.75454578042395,84.52614673573217,73.85378429170302,66.43761729388058,60.77632907422106
Japan,inflow,electricity,grid,lines,Aluminium,12.782429664996398,11.50728835246902,10.199816670659127,9.043941908976409,9.792769655113487,8.587982226068409,8.520346504465573,8.213003220743628,7.775518588962129,8.886558887586233,9.21131745904741,9.656802536772647,12.853323050636668,15.950890035880853,14.437713504026988,15.72138655420708,16.75785411936027,17.88475971063062,16.72239577279127,17.108409894392377,19.98201174315763,20.804093734066218,20.846933775855028,22.09833953052368,22.62606389574636,23.332447914122326,25.464633439779,27.411868935180767,28.636600517119067,27.497062056141424,24.264108839200922,22.24621620429628,18.036684561201213,17.351092582685897,20.544903483753554,21.259769247273965,20.133444733850904,20.429074398137853,20.694283956054793,16.719080786658843,15.325055686623516,16.66123955472916,20.074189590351864,24.200648738621407,24.68225003562222,24.460439846809102,21.986246682191727,16.510536643680503,8.621876250185144,7.36886904000514,5.637402076877579,5.216904572742893,4.801254081842745,4.37725212460673,3.8985789370645207,3.739615385569491,3.5687294830997125,3.3316373082452255,3.0137385865424733,2.507982123993521,1.848970074846033,1.219634526723173,1.4055877165596178,3.5700554790566463,8.66683663246059,10.10299277695657,13.243553791266692,15.541545225249498,16.737140648651057,16.534415907905785,20.466274849884645,22.857252888293978,25.320178993115118,26.973414225989004,27.433942143894225,27.48689156057485,27.25644645526948,26.757848848689555,26.302038372146754,25.666445855567556
