type,time,Canada,US,Mexico,Rest C.Am.,Brazil,Rest S.Am.,N.Africa,W.Africa,E.Africa,South Africa,W.Europe,C.Europe,Turkey,Ukraine,Stan,Russia,M.East,India,Korea,China,SE.Asia,Indonesia,Japan,Oceania,Rest S.Asia,Rest S.Africa
phs,1971,611.6456,5591.987,30.89199,14.04357,47.91386,70.2654,43.85509856,35.57066,5.890642,4.948320242,3555.586,528.4987,21.35698533,39.68942903,106.1346,592.4145272,43.55991612,121.757,49.53875,171.1625,24.85275,1.349688,788.625,246.7652,10.64779,19.3124
phs,1972,687.4095,5967.324,36.35151,15.95836,56.62456,75.22236,49.5753346,38.21094,6.482426,5.593754409,3711.354,585.633,24.14267638,44.86631536,110.4779,669.6860099,49.24166589,123.5856,51.62157,190.3777,28.28264,1.454614,861.8459,252.05,9.79337,22.87316916
phs,1973,710.1379,6278.135,42.26616,16.75692,66.63324,78.94763,55.29556022,42.1614,6.127255,6.239188523,3950.001,624.042,26.92836657,50.04319855,118.4081,746.9574009,54.92339061,123.7865,60.3098,216.8603,33.61465,1.571627,929.6451,282.4063,11.44283,25.51237561
phs,1974,734.1681,6329.345,46.45215,17.62909,75.48215,82.05704,61.01578449,46.54585,6.913222,6.884621262,4064.957,692.0655,29.71405986,55.22007728,126.8552,824.2289794,60.60513079,137.0644,63.8124,209.4108,36.73106,2.321236,909.0872,306.1528,13.04051,28.15158617
phs,1975,752.9033,6628.964,50.52358,19.36459,79.94205,83.61631,62.68534752,52.38615,8.972327,60.07825115,3941.649,707.2695,58.63678892,50.12516757,133.8192,748.1811698,76.5423459,167.9537,66.60268,232.5753,38.88238,2.477336,950.4457,307.6034,14.56566,47.41349
phs,1976,811.5082,7120.49,53.43382,21.46289,91.8898,85.04121,73.21140328,57.6707,9.54041,101.6182937,4141.84,731.0024,71.73432,52.39338197,144.5692,782.0366263,91.56810818,188.0204,76.22032,226.49,45.94176,2.597717,989.7485,314.5129,16.05158,46.32799
phs,1977,844.5757,7284.959,59.02212,23.74423,99.78838,92.37548,84.08915759,57.84408,9.934042,106.7327892,4208.999,751.236,77.06908,57.52345476,151.9003,858.6094201,105.4831632,198.6427,90.18566,248.4009,48.45571,2.878732,1040.243,324.7316,16.41018,54.99293
phs,1978,926.3708,7772.626,63.46273,26.03618,109.383,98.79129,84.29386191,53.4571,12.53375,103.865696,4369.702,800.7074,76.90784,64.6677442,159.2168,965.2456717,137.7446221,227.3697,103.8579,296.9243,52.53497,3.918384,1113.28,335.6783,18.47612,54.59954
phs,1979,967.919,7678.477,71.89219,27.31936,124.4789,109.7214,88.88522045,66.57389,13.00596,105.5140293,4546.6,815.6503,82.89114,66.63186666,157.8951,994.563567,139.3607292,216.7307,116.0164,345.03,58.45273,4.724205,1189.02,346.8448,20.06778,64.2417
phs,1980,976.639,7510.782,79.93461,27.57554,146.0638,118.411,91.40799895,75.5834,13.74488,106.8338774,4683.001,800.6099,79.33707,72.50343521,162.8086,1082.203619,140.5255478,227.4903,114.4065,399.1966,61.0215,5.065576,1253.991,361.198,20.28898,58.7077
phs,1981,1048.759,7636.326,87.58743,28.37397,145.9025,124.9462,103.9770752,82.02739,15.03931,121.0317141,4777.167,840.0599,90.0976,83.21456606,170.2926,1242.080638,168.9661398,257.6826,127.1347,397.9288,66.76953,6.71699,1321.306,396.6071,22.361,53.826
phs,1982,1007.242,7426.778,86.80847,29.61471,155.9075,123.8161,117.5250924,77.69359,16.1609,137.5474424,4826.871,856.3241,97.10973,93.83957926,182.5627,1400.672094,197.895857,266.3836,142.8882,403.5872,77.06226,8.118522,1267.391,418.7662,25.39851,51.56031
phs,1983,1064.132,8086.025,82.00256,32.1574,155.0019,129.576,129.9389326,72.19915,17.20897,153.1176006,4912.355,909.5619,100.2485,103.6462316,193.1033,1547.048935,219.4746096,296.0482,165.8322,434.805,82.46674,10.34527,1293.704,419.1737,29.45348,54.79663
phs,1984,1162.291,8452.316,90.61501,33.73352,179.5768,138.8762,134.3418042,81.49048,17.12409,159.3993092,5152.761,972.6513,112.4322,119.2241481,201.9516,1779.56696,227.6304815,321.4257,183.9912,456.4233,86.80272,13.32234,1351.691,447.4388,33.10271,55.00533
phs,1985,1237.323,8689.218,94.7375,36.4251,202.8115,144.1228,139.7978823,88.1208,17.51856,167.0607159,5327.531,1033.473,134.7877,132.0649309,198.8253,1971.23198,237.6717894,359.4462,199.1623,531.1432,87.41137,16.09092,1444.298,481.4913,36.01895,61.92623
phs,1986,1207.469,8717.973,99.73884,38.14675,217.0621,174.2952,145.9418341,92.00605,18.83706,175.599426,5443.383,1089.385,167.6182,139.7764229,199.2067,2086.335557,274.4614265,376.9893,225.7296,606.3991,92.68092,18.97055,1473.159,525.6849,41.13192,62.71087
phs,1987,1279.784,8789.418,107.3426,39.53249,213.105,190.4415,151.4737585,91.66652,21.45638,183.5321084,5517.646,1096.874,185.5094,148.9614092,197.3596,2223.432952,360.2281783,406.3464,267.8008,677.724,103.5025,21.95792,1537.503,527.9091,44.84372,65.1087
phs,1988,1282.109,9186.4,113.5488,40.31731,213.2502,202.1445,153.9536763,93.04366,22.73286,308.0270684,5822.909,1102.697,198.4937,160.9619447,198.4201,2402.554259,367.8127796,473.7115,300.7859,758.4274,121.4888,25.43295,1668.512,557.7914,51.2676,74.18461
phs,1989,1230.387,10212.93,123.6414,39.6104,219.2418,196.4946,168.0769055,105.565,24.24838,325.7838908,6013.801,1106.238,193.9712,169.1608117,191.4268,2524.932735,387.9217668,516.4186,330.718,803.7175,136.2855,34.24083,1764.617,600.35,53.57734,71.90677
phs,1990,1170.083,10688.65,131.4395,40.87907,199.7082,206.3069,173.2922087,109.8016,25.4876,337.5438577,6086.734,1019.225,226.108,233.9537773,164.4076,2599.246993,400.7727755,556.1957,335.6527,824.8383,157.4824,31.21206,1826.244,622.1473,61.32378,66.37055
phs,1991,1226.545,10548.83,131.6998,41.57125,222.8306,228.0597,176.6207186,113.6161,25.68984,338.065692,6149.289,947.2016,224.8864,262.3521535,199.7117,2586.449528,400.2460666,598.068,374.9533,894.514,172.9396,38.42422,1932.969,601.296,69.41202,75.29082
phs,1992,1281.582,11026.1,136.2262,45.29705,229.1796,259.659,176.1385356,111.0382,26.13657,339.535141,6242.429,957.8688,267.6848,262.3906545,225.3328,2467.826,400.8224205,658.3314,410.0576,1069.772,183.5925,46.28885,1984.932,624.567,74.34453,71.59274
phs,1993,1354.999,11242.26,156.6538,47.907,254.9597,289.2829,172.2492671,115.6131,27.84274,334.4217246,6196.574,948.7015,296.8146,257.3690632,223.4367,2299.785,393.6634491,725.3278,458.1296,1238.977,208.6883,54.82672,2053.881,670.1094,77.07633,66.92075
phs,1994,1481.524,11631.77,170.0168,48.97043,275.7094,300.7069,178.2429582,114.286,26.88025,326.8952856,6499.226,1031.402,300.5391,261.115859,189.1586,2194.029,383.6858435,813.6951,497.9936,1322.415,242.5597,67.39214,2142.135,718.6662,81.87967,84.5898
phs,1995,1520.712,12152.52,156.8473,52.15669,297.9713,321.8632,182.1127885,121.5977,29.63506,327.3198159,6731.94,1116.634,333.8566,260.3988437,168.2968,2030.498,383.065384,973.326,573.0429,1346.042,267.496,83.34143,2248.981,748.2969,86.54089,92.80544
phs,1996,1545.944,12502.18,173.2295,54.91601,305.1244,345.8396,201.5260323,131.4951,34.71693,323.5882689,6828.936,1159.176,367.7577,256.3832796,159.5071,2125.577,377.5890811,961.7775,632.252,1411.754,293.5411,107.7325,2341.684,770.1854,93.77061,96.65154
phs,1997,1595.163,12710.2,188.2635,58.3358,318.0213,381.1194,209.8232249,135.3554,37.22424,325.491734,7091.857,1254.147,402.7495,256.83416,157.8058,2212.929,378.6883369,979.1585,677.1931,1562.901,318.4676,119.3762,2414.197,796.2696,98.03761,103.6182
phs,1998,1618.493,13204.24,198.8667,62.02953,318.2067,395.4006,211.9499102,133.0642,38.54175,326.4399936,7359.761,1323.02,428.8468,339.6143462,133.7533,2216.643,378.6567706,1029.891,641.9214,1500.57,292.7207,120.1294,2372.417,838.8229,104.8063,129.2985
phs,1999,1708.871,13649.38,215.9325,65.00954,317.9235,393.5399,237.3949943,143.2618,38.79948,330.9487873,7580.063,1352.736,448.6824,343.2644598,141.4625,2318.634,382.7474307,1107.515,665.466,1739.781,328.2141,110.8525,2367.508,878.7452,108.5171,139.1292
phs,2000,1811.269,13754.29,229.9999,67.93871,342.9673,435.8148,235.0928111,155.7003,41.22694,329.4335751,7863.5,1434.952,449.4599,340.6721197,144.8795,2493.331,379.8780833,1196.939,737.1082199,1953.5,376.9114,127.3989,2482.829,896.2449,118.7587,149.1901
phs,2001,1790.614,13233.38,227.4802,71.8025,360.6765,436.9152,230.6249018,156.382,43.3529,324.8326781,7691.418,1476.47,468.6419,334.8822422,174.7518,2454.393929,373.4304105,1233.146,722.4923192,2173.903,402.4958,137.9257,2522.093,917.4861,123.8053,162.9576
phs,2002,1822.585,13243,232.9812,71.92535,380.1217,441.9548,224.6447988,177.4399,46.79473,318.051506,7436.98,1485.934,497.593,326.8798595,177.5034,2391.960103,364.5213348,1302.21,703.1983791,2407.122,424.6618,145.4221,2589.744,957.6288,130.3643,173.615
phs,2003,1772.503,13233.22,243.5749,82.57818,403.03,459.8067,217.7250485,169.0502,50.79959,309.8595213,7293.723,1545.682,545.5042,317.4753309,190.1648,2374.715208,354.0488588,1373.275961,681.0002919,2782.718,456.2096,151.4596,2604.548,923.4817,139.0975,173.7257
phs,2004,1798.951,13386.12,252.3022,81.60687,425.1077,480.5646,224.3762884,187.4487,54.88638,298.8383213,7162.92,1601.008,596.1772,305.2214737,195.689,2313.448543,419.8366017,1419.748045,653.2373504,3197.424,486.3662,167.2248,2715.72,921.4532,153.6273,182.7482
phs,2005,1923.64,13583.08,263.4935,84.98913,444.9814,498.8659,218.2565997,202.5949,60.99137,290.5789096,6983.398,1620.915,642.9985,295.8477109,220.48,2270.257056,459.6800379,1465.20022,631.5678122,3679.997,519.4673,179.5777,2802.438,888.7408,167.7827,192.5822
phs,2006,1798.461,13417.21,269.8523,90.57641,462.1486,525.3719,211.1734083,212.2216,67.31125,282.5056402,6691.943,1647.835,699.0704995,286.7219336,229.6005,2213.967728,488.0954672,1499.432098,611.149492,4286.268,553.5147,188.5998,2864.382,899.8417,183.9962,202.799
phs,2007,1886.993,13205.95,278.9591,93.76944,490.5254,539.5406,204.0703183,231.4836,72.94273,272.8623846,6386.061,1627.26,674.6771235,276.0649386,236.7175,2169.784672,511.5646667,1543.560047,587.3192259,5066.552,590.9594,183.3363751,2970.444,877.7704,192.7462,204.9288
phs,2008,1870.511,12205.91,283.4984,92.83965,514.0458,562.6683,201.2154216,232.6684,79.9328,266.1713902,6302.478,1648.431,657.1307148,268.414234,207.2122,2121.835769,520.4424868,1578.822406,573.7240299,5671.396,614.1594,178.5702656,2885.368,863.0665,191.1044,210.0939
