flow,sector,category,technologies,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
stock,electricity,storage,Flywheel,Aluminium,6.262552091189208,8.658910440272008,11.15360351737023,14.48934007217503,17.81161973824669,21.269709055537042,26.318892447928455,31.233611111007477,35.93875801657146,39.50523158692756,46.082992163566914,49.273053845832784,52.530617137515605,55.98191954859222,60.28034767688101,61.29397230136125,62.05970578303796,62.9803487409403,63.29109855505424,63.73669946200143,64.3397622890413,64.9403871815113,65.29665148266317,65.9788099815977,66.7086792670497,67.45502298542146,68.56141162585152,69.63043493017747,71.00491030423765,72.53354340189593,74.10206501032695,77.54633423243483,82.73416438741617,90.42329432836196,100.50991405162956,112.04760117402037,123.73775583266254,135.55168565261803,147.2616612325348,158.95260533495974,171.17151010751905,184.82221610064423,199.66512005481943,214.50048045150328,228.65819579365171,242.14758746962087,254.99399514070356,268.0119416452502,285.10791242204584,299.3520966468095,309.5483899940139
stock,electricity,storage,Flywheel,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Cu,0.4195247301344882,0.5800553852197995,0.7471734266665846,0.9706324825877453,1.1931900693423403,1.4248454658153307,1.7630873309924244,2.0923214819891043,2.407516542574224,2.6464325372595967,3.087072900904044,3.300773281655818,3.518995556048068,3.7501963016125623,4.0381455073461,4.106047632685868,4.157343674232145,4.219017011689503,4.2398339613942255,4.2696845075473995,4.310083336345007,4.350318849320624,4.374184788097815,4.419882190052699,4.468775709907565,4.5187728424628375,4.592889175395749,4.664502426147913,4.756577733783335,4.858979977857596,4.96405433011934,5.194783926436511,5.54231365777625,6.057404010155537,6.733100811676192,7.506003776141281,8.289120452375746,9.080528754834026,9.864973223081664,10.648142783696981,11.466680123204133,12.381132995535229,13.375450517388371,14.369262700703052,15.317679835083787,16.2213263549269,17.081899749436612,17.95396443084801,19.099213591587567,20.05342322623273,20.736467000172137
stock,electricity,storage,Flywheel,Electrolyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Graphite & carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Nd,0.19853204514190106,0.27450010369196354,0.3535855166970638,0.4593332359394662,0.564654352160842,0.6742808326193295,0.8343473183892924,0.9901510759102721,1.1393111027256855,1.2523735222564554,1.460898136617947,1.5620277497033357,1.6652972623652516,1.7747085879873115,1.9109750357195803,1.9431084162925543,1.9673832856968,1.9965690116782238,2.0064202345064226,2.0205464338713384,2.0396644060108002,2.0587050920648076,2.069999190587076,2.0916246110119134,2.1147625330311013,2.1384227186279,2.173496853949725,2.207386453560525,2.2509593297675368,2.2994192308958112,2.349143656056152,2.458332019318857,2.6227938098988206,2.866550455801293,3.186311028339491,3.552072556109977,3.9226675273950207,4.297186352015811,4.668409675445469,5.039029673251078,5.4263867951668,5.859134106324306,6.3296758335560925,6.799978419001179,7.248798666798889,7.676432078570118,8.083681958575882,8.496369870063537,9.038337105238881,9.489898542867312,9.813135929416996
stock,electricity,storage,Flywheel,Ni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Pt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
