regions,flow,sector,category,elements,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Brazil,inflow,electricity,grid,lines,Aluminium,8.308665762007136,7.4381504190415715,6.540672420051138,5.659786628118853,25.968808997279986,32.51347292094722,40.15380702417378,46.8519820991664,56.81332618302553,44.37474329582212,40.62927135148985,40.64451044541309,41.70340651664613,42.74454892530104,42.40684918722388,41.36978693543619,37.51509529603934,41.27283155407473,35.79634835925664,30.774666421432975,37.70849351170078,38.21650819388708,35.36240152333198,35.41485017260322,40.24540455730429,39.47731668919937,45.14041730685535,46.14451056481912,42.18303566848162,47.63323880032327,44.31132401626459,42.689981204268854,52.45730440627414,64.31000859064045,72.15211606638613,91.33608831221241,109.2223946709393,100.82335789238614,100.21772996259791,89.4354999506536,75.55858362558268,63.27292021322213,65.516070559796,77.43077806108097,70.3546060113503,85.54571895697087,90.9126400625235,82.20920735975041,65.75710078998785,108.23595648440691,114.41947642409878,124.73050125919701,150.83742380670245,171.75691947416647,153.83873643425554,150.67269266326971,151.48671571566732,151.9568628382253,153.64038483552565,155.8501869208725,154.45721029683833,150.3896713518771,144.8310623600711,138.83061927765547,132.70088935336142,126.34837431439189,119.76033410343328,113.68971223824319,108.66765535239823,104.91372973049417,101.23023112070737,100.06631776404633,99.76318398821196,98.66470500625962,97.06612531954849,97.76261320883907,97.05424041316743,94.93073613978777,92.35860724684233,88.9079586452173
Canada,inflow,electricity,grid,lines,Aluminium,33.49333587901367,29.183562175211588,24.850175813118742,20.65943349540285,51.19518541854783,54.83085178802732,62.1386050003386,74.82170691364534,82.4698833256686,54.63596773733994,56.68535048180601,58.19778603419596,48.854980450943636,61.41227679349938,66.63589271144747,68.82295783165837,70.81575367115458,69.46741749758341,51.73134585762938,50.803398221740395,44.631552858924614,44.93437610652824,52.16474413217537,52.76412798763856,45.253599504655426,61.260040477979835,55.218013371386455,51.03483473913628,53.05101874185871,59.81220674033369,37.63806353060297,41.60139272780737,44.691273759621176,42.897618719761404,38.751142730801504,46.394433514376594,45.77815861324589,48.930079488717986,62.75400037367313,65.55786874089934,70.65818988255371,72.5090159943131,74.74907103925881,77.73651087670952,71.87401593183597,62.76370440918717,56.93440683499495,47.86054697454323,31.7080499419839,32.4939706914585,33.54683566234879,34.14559842780069,38.94677434630963,46.029666155195045,52.83175163040634,58.89519447448191,65.1212179115084,66.74508634208875,64.7126567207643,61.96534816391985,59.51381135305779,57.4240635516633,56.22693544104913,56.59837037925598,57.917900130756415,59.53977753183726,60.91360355726862,61.197306017581084,61.03757396000317,60.88611931598939,60.17117057046476,60.111669869982926,61.121485322309056,63.154077096829404,65.12489938107022,67.27226162052465,68.25171827924538,68.51882229389372,68.1401697209764,67.83471771761963
Central America,inflow,electricity,grid,lines,Aluminium,2.369307095604498,2.1273515470138586,1.8903614578795678,1.6549970248476829,1.7245165775273998,1.6514660124562022,1.464686900253444,1.8663353872141577,2.0984606391375524,2.0729127528768965,3.1338059963617133,3.4059239899213276,3.1391062959509153,3.8128453021378306,4.394603804383758,4.763103239205469,5.630852631130565,6.856697176583231,6.716702556779666,6.291387998176918,5.186995247535808,4.674207304875001,3.8051724133689087,3.9550863293831338,5.028465437609606,6.480429604166149,8.34191151006538,9.510802031920015,11.023356372528088,10.610115801502236,9.415321215383361,8.834569479678331,9.309163989247166,8.321195708445249,10.634132039664493,13.5054149279549,15.307480763294494,15.488087650541212,16.6850287835499,14.324723279697821,13.101714679870174,11.734472839333478,10.33629675697201,9.36182670814358,8.475037107747603,6.461994514437126,6.473740702086444,8.634111945320297,11.34627985068966,16.69611772130191,23.033185033795668,27.894890410344082,32.07978778704087,35.055049567626675,37.262926624172266,39.20056116518632,41.84612719255397,44.955088696758914,48.69088442736649,52.50125460437931,55.46792561810965,57.57163744444642,59.96485370435578,62.66760578318587,65.89042277821602,69.2691932250189,72.64611003370231,74.0846962561642,73.60419145580425,71.43755976885753,68.88904055418406,66.2892933532726,64.56726628886382,63.68954476269064,63.491224439203414,63.30636395925748,62.8742797372472,62.410127622919944,61.88029846529702,61.32607252726964
Central Asia,inflow,electricity,grid,lines,Aluminium,15.691985648087858,14.146474101424683,35.76866238371461,57.37679945316335,79.02868075044242,100.3617389461125,125.37945693485388,106.93599144759484,83.20240396878704,62.034508289394694,38.46043510151442,12.363589824754794,6.360855506188461,10.926495184259752,10.867183272837726,10.820033391932114,12.30008137921801,15.809705562799397,10.5491179886147,11.909878006666904,12.060536096004169,11.337855057015279,9.907847429346011,16.668401712753816,12.74598074616982,12.448239131075855,12.341652604517577,11.228886713406201,5.471418099189822,5.836059369238045,6.607490235310879,7.627113869022226,8.796244353198928,10.152491054731554,11.739373281556892,13.381852459480662,15.029083944167793,14.672833033364686,16.92770568191274,15.518889361700317,28.771019855310655,49.71852590787387,74.40500045944556,100.18390691052976,130.5035700589258,133.24614209181294,118.57895070564587,105.81425759940143,88.07259555783669,73.41745909350294,72.31862216776688,83.50843764771285,91.44227253071939,99.48882467830177,102.03872341119337,102.9559572535396,99.38840209377096,92.74756146189445,85.61151184052068,78.20489650694425,70.54880828681276,63.31682387425,59.680032999402435,57.44496631043279,56.86101712851623,57.231731887865095,57.490155219105894,54.590681738703616,50.864473290309405,46.28865899964893,42.33071567969506,39.798302453705595,39.08435200549492,38.97937346316064,39.64429124122758,39.13639093904751,37.010150755349514,34.051161787682965,31.45577677743184,29.525428609932014
Central Europe,inflow,electricity,grid,lines,Aluminium,25.257390540166707,22.8231840613573,20.366196256934167,22.592835418582485,39.93955701946329,46.01619858060711,60.007095552108645,75.93475656043569,83.96508516447446,78.6298410623033,76.98005933753444,69.7581392446173,59.83455561409671,57.95894449362266,56.30348040113324,68.0794372417832,84.81528501362384,95.09982800561754,97.46021919574953,123.01847584962316,124.31234406898561,101.55945713294052,83.81017374042878,69.88581078750016,43.270890736451676,36.831776895124634,45.17780587916664,58.23039754526343,75.22745055437726,78.03969673890434,75.9373298219074,87.63856564531056,97.72662478855514,102.0264541774819,112.1375145840308,124.90641701464288,120.61752677326399,112.31261947605253,106.05012732980273,95.36593008735937,81.26331878175466,82.08282438860265,90.81813021997722,91.93073621256784,88.9525033318106,87.08000927393125,74.16454416491055,52.61518591874168,37.70488424688494,27.656822712463594,23.245780281820533,39.14102326828693,49.63786285327954,60.622221910873535,73.6513027002078,81.63131963653845,76.12874721451533,77.9122582706437,81.08204069757349,79.9349489359896,81.89500651524645,80.5924857081772,81.19112625656521,79.22840971602895,79.68667010710338,80.27486583894449,83.12950855156114,81.1670534188968,82.59834697064935,80.74643254327252,76.07795912905274,71.69416832165525,74.02257967270856,74.56504467254607,78.64331699244778,85.60173662879176,90.94866157333809,94.36880297391319,97.03141318675506,98.52733954282093
China,inflow,electricity,grid,lines,Aluminium,14.383554896538447,12.968578281048362,11.532053333306827,10.092654608517025,21.352929970037557,19.31500023751043,20.24712665470025,19.12802141849974,20.73923116963601,17.618113585565343,32.09866843685791,52.66288302115326,75.66359393542248,88.07324170787766,93.29579717293647,86.05909522404173,68.3593710926207,59.964035163877945,63.34289269505518,74.91423493302055,81.74772802598577,98.441970862869,109.29127037500155,134.19053724134062,154.25720489431575,167.57978746119116,180.05429702400215,194.52207654774523,164.5687477627074,136.70525221848314,136.74339827361374,153.54918903893042,181.34415988938073,243.32981170039335,328.1964286090895,408.5510699388641,488.25059657109944,584.6508517620025,703.1938501512686,771.9085257051194,822.4432583934018,847.4380623095848,941.5678549571566,969.1056973045281,918.0185266985428,851.9725246689501,761.9719005826739,545.2322735667404,494.1471195619058,469.57268436301416,467.13574907101594,499.79783715601974,555.7192274365542,486.9985985165559,501.3559558703451,537.7751173982232,578.3864982457784,591.5523056131151,577.0764943471551,541.0730435355914,481.0047634075258,406.1711097354342,372.6911594479822,372.0495552739532,392.0550845671884,428.66063160562993,470.1332438550452,484.70162201995004,480.76519530978976,462.8825098331322,435.0455259782193,410.1152955728772,406.7997187129873,421.55237105131937,449.73874785918605,482.76730890311813,510.0220797998908,524.8304336688547,528.6338776206044,522.0887155418349
Eastern Africa,inflow,electricity,grid,lines,Aluminium,1.9280877767199152,1.7393928869000552,1.5491240551712353,1.3555516058314012,6.293848722395892,6.222096124252667,7.269903776174524,10.174357884676184,12.715200596687922,7.770183391788971,10.72750603673896,11.750441330794661,11.4657143508864,10.220649296228814,12.793064388881701,10.509666103148623,9.763678260207081,9.897801016348987,10.43583978634378,7.885108961031099,8.947382938022924,9.36983450590217,9.266526093159873,8.748276662196352,10.200632928787943,11.989932169798042,11.196536764211396,11.669805381859746,13.429445984197011,13.919579590752091,12.408375543643709,13.661074419731108,11.819716691464256,9.071965408877697,7.199746392757381,6.111090212751062,5.067991029416794,5.0038081476391785,35.615533056736304,47.10920302381449,49.933986855330176,58.1181755536903,61.00453802982018,37.93887456438971,27.23760311572067,24.222078429045013,23.342159281070536,32.20845096409373,34.26396626641897,59.235549857533265,87.65392047351381,101.50049168149312,108.74100530259345,120.62457340153483,116.01745235394344,113.40092554328078,119.242650358586,128.11783552771567,135.26143725185838,144.06986817712468,150.61613569024894,157.6463097905781,165.96254497148828,177.70608876405836,189.97505633195354,203.9336611225277,217.8781030206659,231.5094883177687,242.3522938651658,249.79507620245124,259.65536205485614,267.312426328034,270.41970387666873,275.0115932962041,285.45578524375674,292.80751220814386,304.96716306197294,325.0306490698263,346.6355845224253,369.19295852650146
India,inflow,electricity,grid,lines,Aluminium,30.03259652236876,27.111330270296772,24.13774350205333,21.136309133527877,29.65368974835882,28.690082176052083,35.500930707780974,56.85493571668612,55.09554224492576,41.79874363821048,45.447165183927844,36.52090166831747,17.66254907362931,28.58320461222973,36.12610506445942,36.839019598165414,51.299707359587714,71.6425110906734,86.74685878469093,123.26716048059771,138.44682283387317,139.3252156890613,140.0048157128664,169.83998660616723,152.94036963829606,164.82832942291918,216.28131344081558,249.70203623274227,245.27814664821486,262.64777202261416,258.98613914910663,200.18447320786137,156.50176293464267,133.58832126880358,126.50524018462315,139.23908213571184,173.69977185231187,217.090722176032,246.08657119001126,275.3016557238006,330.7973508670329,394.7327513435385,458.0126950846958,528.8704730303821,573.9691299923617,575.015808938061,564.3278849619397,525.5377006677564,488.86699024220496,485.47582178551477,517.4519458749189,568.4528896823978,637.6064523009284,702.7688900598589,753.9449776555939,789.8938808817392,824.2430598400932,857.4886937350385,893.5800388940289,936.5197339871754,974.1982048468747,1005.5133927922045,1049.0839630014564,1096.32467469216,1145.2611208840012,1206.6797758284738,1274.215486852702,1323.5434673465072,1371.3715076418987,1424.6179018054802,1449.3707644697618,1483.8067632012232,1537.9581908544717,1587.8861662592406,1619.263324578433,1658.8392129879626,1672.2350867222178,1667.5814645790063,1663.8799927363777,1673.5715237826646
Indonesia Region,inflow,electricity,grid,lines,Aluminium,0.3533522142572966,0.3184201865575725,0.28296407391659856,0.24713234225903402,0.8986859853452532,0.8501685949078763,0.8454371553469712,1.1271539935008867,1.3170432425056313,0.8754741343905875,1.9736340183549965,2.1744979851651633,2.1969478478520883,2.5554983111154757,3.664546454174375,4.942983134042484,5.37319588276489,6.849071942762413,8.97904542026661,8.142985828757356,7.83413226109583,11.739029841187051,11.549511732279896,10.894678848503164,13.20571149515607,12.533852718479533,10.553641312332662,14.624305052926013,17.59273363623642,22.1899554762724,27.669318375374303,30.501635522104653,29.484919156095877,28.309926431937736,22.58270550082771,18.97309469528872,17.798002634085325,16.46972464630546,17.293105883957296,20.219348164904172,20.021562998726328,20.947085235922533,26.847961058494157,30.130650587657342,35.247954345212875,43.49853886516413,48.97634286542853,51.19118760379041,55.18380737313249,59.118988917258335,64.77188385796448,74.15113335575653,85.16232573558376,97.9443365813794,110.58641521311598,120.9001064307472,128.87084756070777,132.9873608110977,133.06902053545053,130.05945924415764,125.08856627167239,118.51307213901485,115.39995333926258,116.51016158076706,121.02816382683731,128.50133842627116,138.37526061447696,145.5757243731924,149.49293211813836,150.8773204869048,150.34471617439192,147.10436609332461,141.91387250911816,135.91478246855996,128.85019183390506,120.3077776031695,111.46735935962911,104.13004453408718,97.84741453404928,93.11313876024063
Japan,inflow,electricity,grid,lines,Aluminium,12.782429664996398,11.50728835246902,10.199816670659127,9.043941908976409,9.792769655113487,8.587982226068409,8.520346504465573,8.213003220743628,7.775518588962129,8.886558887586233,9.21131745904741,9.656802536772647,12.853323050636668,15.950890035880853,14.437713504026988,15.72138655420708,16.75785411936027,17.88475971063062,16.72239577279127,17.108409894392377,19.98201174315763,20.804093734066218,20.846933775855028,22.09833953052368,22.62606389574636,23.332447914122326,25.464633439779,27.411868935180767,28.636600517119067,27.497062056141424,24.264108839200922,22.24621620429628,18.036684561201213,17.351092582685897,20.544903483753554,21.259769247273965,20.133444733850904,20.429074398137853,20.694283956054793,16.719080786658843,15.325055686623516,16.66123955472916,20.074189590351864,24.200648738621407,24.68225003562222,24.460439846809102,21.98624225678603,16.5105410012569,8.621871755269206,7.368877768286239,6.006645202522826,5.922197576363698,5.829135236125668,5.544036861536422,4.8882215977491725,4.142247237791745,6.532804640478672,9.348511278872067,10.569014749094382,12.829882585271795,15.823283885521434,15.773707760094153,15.88155451065962,17.750007285076286,18.788381563055278,19.431764267064676,20.159676986332663,19.973471707664192,19.79149742359531,19.81606153479272,19.406476021822748,18.970195103477813,19.086646219593526,19.13662751555569,19.13102894985124,19.336809380376273,19.17781531630087,18.429744640371208,17.719226312302414,16.962515850087634
