flow,sector,category,elements,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
inflow,electricity,grid,lines,Aluminium,1408.1632817824461,1446.5969247007388,1590.5335737800324,1747.6774799296204,1920.9636966977037,2076.9948020708825,2284.2816640314295,2554.4550141702025,2664.797087697785,2869.401654011647,3123.604977213797,3436.1928427240473,3595.7577807442963,3563.828422545777,3384.3423980757425,3049.0295810811267,2536.0536757034574,2311.663865797333,2394.7088317245048,2569.506207958867,2865.5030316232614,3224.860746105894,3350.349234086846,3494.8275210724964,3629.9213277777744,3766.8530846758017,3833.477928121238,3855.6160686987696,3863.63463579318,3837.540802727225,3777.7681614197536,3826.0662300292397,3947.2146719021257,4102.851208247146,4307.494580092577,4521.382517115359,4645.019073747962,4702.570144309838,4728.246788303432,4718.107228177516,4743.7222681673475,4850.213359720137,5012.164665326146,5197.44823218156,5390.768303322239,5523.373818776965,5607.247122596878,5667.190778273186,5700.401256657332,5739.5151413743415,5802.976128984021
inflow,electricity,grid,substations,Aluminium,1286.4134330197792,1332.0370789024705,1474.5259205505743,1610.400122347982,1774.0036509567853,1914.594129781071,2077.8107798510114,2243.6425489873186,2341.4531227371267,2521.585455792908,2753.8142146461114,3048.3986786037785,3255.7471470074915,3223.1818118782926,3069.9660547849744,2776.1682915296074,2339.8276980511077,2167.4855110398735,2282.452569332121,2477.1961373047584,2773.4930250436637,3119.9899383247607,3249.434675340921,3387.523261625121,3506.0895725734845,3633.950698421719,3703.8546332798114,3735.4952887146583,3740.2288591837955,3719.477215953716,3662.905201478305,3708.418554519912,3821.492581772596,3980.05951381061,4184.276410706593,4404.827958367323,4535.325485019481,4594.229633819952,4618.061345114372,4612.365577642803,4637.181998743645,4743.427839849618,4914.800600528748,5117.951580444942,5328.037585279345,5484.373276678534,5590.6052700245355,5667.1869956669825,5708.573358454394,5747.908864306108,5797.322060426973
inflow,electricity,grid,transformers,Aluminium,102.25296191199844,105.7982992176751,115.95383575271171,125.66716198634572,137.2527551426443,147.30280409192193,158.9207168685842,170.75317992416092,177.9873312754619,190.8853565031764,207.44735247926485,228.3045840692482,243.3218357018472,242.16050259029737,232.8701872450138,214.0429480728318,185.61683864641543,175.20090894314214,184.36275698242946,198.9935664004039,220.54349170364827,245.49667549423964,255.67285900331467,266.42475641030467,275.89498370525536,286.05068517896945,292.3838342716225,296.2560307401339,298.4605961141863,299.1267818296033,297.58954900046865,303.2041410398589,313.6322636312945,327.34758215757375,344.2669805672473,362.32138015688014,374.1770956921515,380.99205278763804,385.1368044072907,386.89398593279856,390.2925089463197,398.76346589310526,411.18977925587944,425.36969486724087,439.70652258816574,450.18280518458334,457.1812538650578,462.23333800449745,465.0796087337114,468.07281440743776,472.1158173653732
inflow,electricity,grid,lines,Asphalt,195.46842684362048,193.46221918069628,205.08868670205416,201.4875545371646,231.77316827520926,245.49678888241584,219.6950648770282,160.64056580091463,167.84813692069437,168.38272405999402,185.53009848762596,230.91991976850588,295.9893404539555,282.6073219390504,291.5192482101308,290.9562261808875,314.70077063236647,341.2767547521323,422.2941182032171,507.86091138036016,596.9976526591997,673.181600672011,748.3858120679413,801.66179478582,818.0508145007708,842.9762905294468,867.3270349694277,891.5034249982449,907.8892256699683,918.3256982606856,922.90048692131,937.6639490156267,954.663041340109,977.8386562208883,1016.8592860891738,1057.9556347270225,1085.0312246347303,1096.7297721572363,1100.8300707374815,1105.318460567019,1114.0141954853175,1139.2029010970382,1184.556983600627,1244.2342280107023,1306.3464872215004,1368.8851393626337,1418.6334039542373,1457.217884931213,1478.2700320036074,1484.610062444478,1472.336032743212
inflow,electricity,grid,substations,Asphalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,transformers,Asphalt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,substations,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,transformers,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inflow,electricity,grid,lines,Concrete,10173.36066064539,10605.240091199075,11820.918809354622,13063.643222138122,14341.958099345946,15497.548588688886,17039.427029834264,19054.936627349096,19860.144369341127,21433.81295575892,23400.58828342097,25799.332853832257,27062.893239486522,26917.72342292444,25586.941088920055,23043.25925093382,19094.145856182266,17457.372830435932,18054.15915436236,19347.490450828973,21535.926100271274,24218.462607082656,24970.56907678508,25902.334763015653,26864.81353050277,27847.154869358033,28358.26015945559,28544.773310574703,28520.26635769618,28295.519877863793,27790.45097149692,28118.272355463974,29035.418499334715,30345.268615401066,31963.027034672767,33710.48419228963,34722.20299768439,35182.00641644841,35354.49441911944,35252.17034226542,35391.8234834294,36168.186474455535,37401.297961964476,38852.82406956556,40365.133871183025,41415.72130039984,42104.349977776335,42604.943592683565,42896.373772360595,43251.91816706045,43796.5774709204
