type,years,Canada,USA,Mexico,Central America,Brazil,Rest of South America,Northern Africa,Western Africa,Eastern Africa,South Africa,Western Europe,Central Europe,Turkey,Ukraine region,Central Asia,Russia Region,Middle East,India,Korea,China,South Eastern Asia,Indonesia Region,Japan,Oceania,Rest of South Asia,Rest of Southern Africa
aboveground,1971,35370.97392,234813.7622,6743.173037,2382.216343,8325.31103,20320.91223,8165.009935,5492.431541,1905.330789,9901.945817,144992.7331,25692.80449,3169.44307,28927.25028,15596.53618,75920.87914,12749.38013,29677.58823,839.9052007,14199.82104,2879.823543,349.2710908,13155.38678,10725.25261,3324.31415,3526.471808
aboveground,1972,35135.90842,232720.1642,6743.173037,2382.216343,8325.31103,20320.91223,8165.009935,5492.431541,1905.330789,9901.945817,144992.7331,25692.80449,3169.44307,28927.25028,15596.53618,75920.87914,12749.38013,29677.58823,839.9052007,14199.82104,2879.823543,349.2710908,13155.38678,10725.25261,3324.31415,3526.471808
aboveground,1973,34792.65738,230394.8223,6743.173037,2382.216343,8325.31103,20320.91223,8165.009935,5492.431541,1905.330789,9932.351676,144992.7331,25692.80449,3169.44307,37713.9014,19682.30697,79284.05821,12749.38013,29677.58823,839.9052007,14199.82104,2879.823543,349.2710908,13155.38678,10725.25261,3324.31415,3526.471808
aboveground,1974,34632.89212,231070.0059,6743.173037,2382.216343,8325.31103,20320.91223,8165.009935,5492.431541,1905.330789,9962.757608,144728.2527,26534.40558,3169.44307,46500.55151,23768.07595,82647.24035,12749.38013,29677.58823,839.9052007,14199.82104,2879.823543,349.2710908,13155.38678,10711.99705,3324.31415,3526.471808
aboveground,1975,40968.68484,242968.8103,6904.796452,2438.334971,12094.95874,22294.56322,8630.89538,6801.821563,2802.97867,11320.34942,154703.5165,30105.04096,4181.131662,56188.02284,27862.81609,86639.46251,13068.9348,31706.87934,911.2145425,16423.8598,2988.864251,469.6226691,13542.78514,11984.62091,3727.750522,8103.508069
aboveground,1976,42283.42134,238824.2195,7528.844744,2470.579598,13430.03803,22333.17088,9099.115065,7230.973973,2825.653908,12628.79564,153470.8775,31653.33508,4932.60735,64871.76735,31918.88637,90257.94022,13144.79006,32080.58643,924.7942463,16328.84487,3024.23897,467.5933247,13583.54686,11776.76772,4121.173293,8636.950608
aboveground,1977,43321.51531,238667.5325,8256.125486,2417.447733,14757.34598,22763.56323,9558.175174,7565.23475,3002.133305,13363.1412,159461.0355,34063.73072,4956.757909,73653.93995,36280.90453,96773.14699,13175.92589,33172.27349,916.8119592,16442.01894,2960.308963,465.5639811,13542.00305,11572.62898,4074.396909,9666.685386
aboveground,1978,45373.29856,239011.9795,8476.770863,2482.907489,15913.18966,23192.01109,9584.486462,7592.197127,3503.339797,13961.89067,158531.6401,36830.2125,5165.638531,73817.1183,37078.37094,102219.1307,13787.34403,36811.84254,973.1141893,16202.01252,2896.56395,513.8106967,13419.77788,11482.87421,4825.540923,9608.696655
aboveground,1979,46531.91333,240622.8488,8746.778679,2517.774159,17671.04545,24030.61757,9870.351199,8601.797862,3941.687545,14560.63211,161092.1021,39037.54197,5437.895659,73680.27155,36943.14062,106223.7214,13485.72533,36400.98796,1049.044144,16445.30888,2947.559566,546.083557,13305.04775,12169.37276,5140.332501,9703.049393
aboveground,1980,47576.63378,244319.1742,9126.707355,2561.809565,19230.29737,25251.72392,10053.28473,9480.575863,3969.691158,15128.24204,160503.7817,41587.37478,5745.710667,73696.5703,37284.00465,112397.316,13184.10592,36026.68194,1114.581901,18090.28283,2991.015369,588.428921,13840.82605,12316.78565,5379.377536,9683.355651
aboveground,1981,49191.86093,245532.6268,10882.05897,2777.490344,19821.11788,25162.20997,10432.78068,9624.52018,4504.581819,15831.97867,162823.4521,42798.9587,6120.308592,74051.34831,37153.67132,117250.9986,13110.85695,36974.58815,1226.55443,20496.31102,3231.709024,778.1781136,13882.0212,12467.02364,5506.107832,9989.30766
aboveground,1982,50427.99529,251988.2968,11161.95115,2777.42349,21122.06146,26023.59059,11428.63246,9850.624783,4855.708963,16290.56451,161836.1719,43875.82073,6583.912855,74560.69555,36846.59648,120148.2174,12936.64236,36440.46263,1344.280751,24178.15601,3389.156485,810.4466813,13863.20566,12730.16909,5663.779458,10295.262
aboveground,1983,50675.62734,251721.3632,11402.84626,2789.619046,22419.84435,27292.42084,12638.71626,10055.75522,5303.931249,16749.15765,166470.7616,44820.81349,6605.355343,75201.15585,36537.4264,123278.6507,13059.79967,36731.018,1461.329932,27939.37315,3425.11032,862.1845153,14312.39339,13455.62428,6155.11116,10601.21403
aboveground,1984,54104.32121,246531.9682,11645.4048,2941.844653,24346.9169,28362.95176,13633.67143,10260.88553,5520.779352,18119.49871,170165.4197,46647.07558,6700.892376,77086.71882,37182.55939,130736.0834,13491.24166,38200.652,1481.22836,30343.04245,3913.464048,956.9464337,14748.57331,14076.11471,7008.2591,10868.87313
aboveground,1985,56054.55744,250126.2034,12308.19447,3087.264,25834.34187,29525.62843,14622.56851,11069.46641,5994.704544,19669.4679,172334.2199,48854.11296,6783.130245,79087.03884,37473.92952,136505.058,14033.00346,39100.9064,1776.808707,32892.32015,4104.001735,1193.251581,14970.6444,14817.42119,7075.73988,11136.53018
aboveground,1986,58033.08169,252100.92,12570.64611,3364.862864,26301.98634,32059.94639,15604.47258,12375.74817,6128.088381,20219.01313,174104.1863,52119.81016,6869.156557,80443.95002,37297.0098,140606.8952,15470.99564,40133.17669,2011.913769,34026.48393,4553.381591,1607.126308,15222.77497,16160.63024,7624.4958,11078.54145
aboveground,1987,59594.85945,255690.454,12716.1062,3517.787745,26920.97991,34714.17772,16862.15495,12387.33561,6347.253251,20808.4053,178701.7581,56152.79875,8476.791273,82862.9861,37255.00376,148174.2748,18119.76366,42092.4758,2125.447243,34611.58153,4726.348237,1714.894346,15364.0859,17025.63801,8137.242479,11020.5499
aboveground,1988,59380.31272,255099.4827,13384.31765,3746.267791,28898.98311,34265.67216,17898.83141,12960.67092,6816.361142,23267.41359,184514.749,58909.20314,12442.9139,84185.34646,37564.2353,154521.2723,19703.16214,45913.78223,2213.033932,36902.00558,5003.942085,2025.570962,15959.21849,18172.94503,9302.643932,10962.56117
aboveground,1989,59477.29921,256335.387,14939.21451,3871.000179,29836.38564,33852.14479,19135.85949,14391.19952,7125.76094,23623.35997,183470.5157,61138.32252,13000.13556,85353.58225,37254.26818,157714.045,21393.1333,49998.27187,2491.92399,39880.54389,5624.223666,2494.916737,16140.80635,18947.29486,10048.22835,10904.56962
aboveground,1990,61238.80008,254048.4124,16215.6219,3936.49277,30302.10721,35752.70736,20296.26371,14315.52811,7151.470823,23789.07176,184311.7774,67943.99683,13559.32392,86945.43518,37773.93918,160310.7431,23949.79661,57260.0657,2771.456418,44443.62571,6223.526569,2585.573568,16399.79477,19639.70987,10474.24778,12068.56775
aboveground,1991,61839.16091,263644.6165,17608.83229,4012.231939,31961.31355,37665.94802,21358.70835,14239.85653,7466.643663,23810.29543,186074.3671,71111.23754,14111.32008,87547.1959,37456.04179,163646.2953,26099.85104,60905.49381,2932.378414,46768.30566,6723.201324,2946.847374,17138.92607,20705.18118,11080.08458,12775.53119
