regions,flow,sector,category,elements,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Brazil,inflow,electricity,grid,lines,Aluminium,8.308665762007136,7.4381504190415715,6.540672420051138,5.659786628118853,25.968808997279986,32.51347292094722,40.15380702417378,46.8519820991664,56.81332618302553,44.37474329582212,40.62927135148985,40.64451044541309,41.70340651664613,42.74454892530104,42.40684918722388,41.36978693543619,37.51509529603934,41.27283155407473,35.79634835925664,30.774666421432975,37.70849351170078,38.21650819388708,35.36240152333198,35.41485017260322,40.24540455730429,39.47731668919937,45.14041730685535,46.14451056481912,42.18303566848162,47.63323880032327,44.31132401626459,42.689981204268854,52.45730440627414,64.31000859064045,72.15211606638613,91.33608831221241,109.2223946709393,100.82335789238614,100.21772996259791,89.4354999506536,75.55858362558268,63.27292021322213,65.516070559796,77.43077806108097,70.3546060113503,85.54571895697087,90.9126400625235,82.20920735975041,65.75710078998785,108.23595648440691,110.19158522813537,116.40317216982456,138.54007519255953,155.57666610535352,133.84022292816337,131.19564261017155,132.5428233772823,133.6083600995316,136.00116838587,139.05509412105872,138.5712065596999,135.3452909311576,130.51038807733093,124.85207654695533,118.76308413467923,112.20820961162768,105.25625722531551,98.73496896577284,93.47081654011528,89.62120145224169,86.06983938078297,85.17396363004877,85.19052910620498,84.33740016560259,83.00134791787703,83.59909511321776,82.50748680645171,79.6839158322733,76.133826373413,71.30163460262496
Canada,inflow,electricity,grid,lines,Aluminium,33.49333587901367,29.183562175211588,24.850175813118742,20.65943349540285,51.19518541854783,54.83085178802732,62.1386050003386,74.82170691364534,82.4698833256686,54.63596773733994,56.68535048180601,58.19778603419596,48.854980450943636,61.41227679349938,66.63589271144747,68.82295783165837,70.81575367115458,69.46741749758341,51.73134585762938,50.803398221740395,44.631552858924614,44.93437610652824,52.16474413217537,52.76412798763856,45.253599504655426,61.260040477979835,55.218013371386455,51.03483473913628,53.05101874185871,59.81220674033369,37.63806353060297,41.60139272780737,44.691273759621176,42.897618719761404,38.751142730801504,46.394433514376594,45.77815861324589,48.930079488717986,62.75400037367313,65.55786874089934,70.65818988255371,72.5090159943131,74.74907103925881,77.73651087670952,71.87401593183597,62.76370440918717,56.93440683499495,47.86054697454323,31.7080499419839,32.4939706914585,30.043512254800895,27.261810535089204,28.34514252178136,31.7080389894569,34.792945893566795,40.618197959007546,46.497459353365365,48.46590739769628,46.54794419804211,44.03732666829828,41.97253799547392,40.37710919477042,39.43587643179011,40.35976732035336,42.32979545933264,44.675476423167915,46.92598947736496,48.14784169662379,49.12009186790341,50.203323762151896,50.82112320266208,52.17096227963768,54.64994420798303,58.16811037243368,61.65897991218175,65.00126156503995,66.93307569958031,67.91571139998082,68.00723832449081,67.70318073775596
Central America,inflow,electricity,grid,lines,Aluminium,2.369307095604498,2.1273515470138586,1.8903614578795678,1.6549970248476829,1.7245165775273998,1.6514660124562022,1.464686900253444,1.8663353872141577,2.0984606391375524,2.0729127528768965,3.1338059963617133,3.4059239899213276,3.1391062959509153,3.8128453021378306,4.394603804383758,4.763103239205469,5.630852631130565,6.856697176583231,6.716702556779666,6.291387998176918,5.186995247535808,4.674207304875001,3.8051724133689087,3.9550863293831338,5.028465437609606,6.480429604166149,8.34191151006538,9.510802031920015,11.023356372528088,10.610115801502236,9.415321215383361,8.834569479678331,9.309163989247166,8.321195708445249,10.634132039664493,13.5054149279549,15.307480763294494,15.488087650541212,16.6850287835499,14.324723279697821,13.101714679870174,11.734472839333478,10.33629675697201,9.36182670814358,8.475037107747603,6.461994514437126,6.473740702086444,8.634111945320297,11.34627985068966,16.69611772130191,22.637909277641555,27.193460438717654,31.148755780035405,33.96553940631874,36.09353326315977,38.42952132556292,41.46837636591575,44.95743464650533,49.052388043869435,53.17699419584219,56.40085591433697,58.69087650712776,61.229830809905586,64.0309095149756,67.30981059604143,70.69946006980555,74.04269797530911,75.39188176379353,74.78685905286189,72.47791877335261,69.7632263981061,67.0055637976265,65.13504566224843,64.11618736623146,63.772635255407685,63.45130734778432,62.867922438430234,62.23964303051834,61.53395578778324,60.80287144936833
Central Asia,inflow,electricity,grid,lines,Aluminium,15.691985648087858,14.146474101424683,35.76866238371461,57.37679945316335,79.02868075044242,100.3617389461125,125.37945693485388,106.93599144759484,83.20240396878704,62.034508289394694,38.46043510151442,12.363589824754794,6.360855506188461,10.926495184259752,10.867183272837726,10.820033391932114,12.30008137921801,15.809705562799397,10.5491179886147,11.909878006666904,12.060536096004169,11.337855057015279,9.907847429346011,16.668401712753816,12.74598074616982,12.448239131075855,12.341652604517577,11.228886713406201,5.471418099189822,5.836059369238045,6.607490235310879,7.627113869022226,8.796244353198928,10.152491054731554,11.739373281556892,13.381852459480662,15.029083944167793,14.672833033364686,16.92770568191274,15.518889361700317,28.771019855310655,49.71852590787387,74.40500045944556,100.18390691052976,130.5035700589258,133.24614209181294,118.57895070564587,105.81425759940143,88.07259555783669,73.41745909350294,69.47766810394118,77.94954167181736,83.25736303632378,88.76874975590046,88.86778384928121,90.26632877876487,87.12838853071777,80.85258769630634,74.02364496825716,66.85370399105332,59.35010325137656,52.202434540707216,48.70512694167136,46.613605582114516,46.19801569119886,46.767320952130746,47.37585110029008,44.67709370936236,41.0752451518858,36.52744319271505,32.439500569556024,29.554586149300885,28.466570517383712,27.92906707449769,28.1244537666765,27.17037400551807,24.67352613552413,21.85914076772381,19.407313344707557,17.50025528145307
Central Europe,inflow,electricity,grid,lines,Aluminium,25.257390540166707,22.8231840613573,20.366196256934167,22.592835418582485,39.93955701946329,46.01619858060711,60.007095552108645,75.93475656043569,83.96508516447446,78.6298410623033,76.98005933753444,69.7581392446173,59.83455561409671,57.95894449362266,56.30348040113324,68.0794372417832,84.81528501362384,95.09982800561754,97.46021919574953,123.01847584962316,124.31234406898561,101.55945713294052,83.81017374042878,69.88581078750016,43.270890736451676,36.831776895124634,45.17780587916664,58.23039754526343,75.22745055437726,78.03969673890434,75.9373298219074,87.63856564531056,97.72662478855514,102.0264541774819,112.1375145840308,124.90641701464288,120.61752677326399,112.31261947605253,106.05012732980273,95.36593008735937,81.26331878175466,82.08282438860265,90.81813021997722,91.93073621256784,88.9525033318106,87.08000927393125,74.16454416491055,52.61518591874168,37.70488424688494,27.656822712463594,20.91192898371597,31.436315976744005,36.70724120973097,42.577672115072744,50.63195514458442,56.053085914780404,51.16593043695444,53.491973044620885,57.18589025970743,56.36745355171139,58.4722395909859,56.965750074196635,57.01792220572459,54.208009950664994,54.06399809558677,54.460700078094405,58.3251975881734,56.41189042749442,59.72976526447469,59.083444202235526,55.902047379562376,52.9322004437093,58.638448579060764,61.46620774371001,68.45684503753539,77.59289380787556,83.98082257799896,87.53058240630625,89.71637824647554,90.58257515828275
China,inflow,electricity,grid,lines,Aluminium,14.383554896538447,12.968578281048362,11.532053333306827,10.092654608517025,21.352929970037557,19.31500023751043,20.24712665470025,19.12802141849974,20.73923116963601,17.618113585565343,32.09866843685791,52.66288302115326,75.66359393542248,88.07324170787766,93.29579717293647,86.05909522404173,68.3593710926207,59.964035163877945,63.34289269505518,74.91423493302055,81.74772802598577,98.441970862869,109.29127037500155,134.19053724134062,154.25720489431575,167.57978746119116,180.05429702400215,194.52207654774523,164.5687477627074,136.70525221848314,136.74339827361374,153.54918903893042,181.34415988938073,243.32981170039335,328.1964286090895,408.5510699388641,488.25059657109944,584.6508517620025,703.1938501512686,771.9085257051194,822.4432583934018,847.4380623095848,941.5678549571566,969.1056973045281,918.0185266985428,851.9725246689501,761.9719005826739,545.2322735667404,494.1471195619058,469.57268436301416,447.70393930621026,461.5463857812373,499.33082043012166,413.2470532898513,411.18507040083347,451.4794566510119,496.61266898200967,514.5350797417892,504.79868755176307,473.01320826289043,415.943198601853,342.7030798428258,309.812114007033,308.60092367705136,328.3681000803225,365.6332298060616,408.6649489525357,424.8983960111507,423.10714804458655,407.0225105525687,380.83841741544927,357.75934272098834,357.51152961793554,377.0037220793085,411.4096153118068,449.93089310133627,481.63209514276804,499.45186836539875,504.26343597420254,496.63944520849805
Eastern Africa,inflow,electricity,grid,lines,Aluminium,1.9280877767199152,1.7393928869000552,1.5491240551712353,1.3555516058314012,6.293848722395892,6.222096124252667,7.269903776174524,10.174357884676184,12.715200596687922,7.770183391788971,10.72750603673896,11.750441330794661,11.4657143508864,10.220649296228814,12.793064388881701,10.509666103148623,9.763678260207081,9.897801016348987,10.43583978634378,7.885108961031099,8.947382938022924,9.36983450590217,9.266526093159873,8.748276662196352,10.200632928787943,11.989932169798042,11.196536764211396,11.669805381859746,13.429445984197011,13.919579590752091,12.408375543643709,13.661074419731108,11.819716691464256,9.071965408877697,7.199746392757381,6.111090212751062,5.067991029416794,5.0038081476391785,35.615533056736304,47.10920302381449,49.933986855330176,58.1181755536903,61.00453802982018,37.93887456438971,27.23760311572067,24.222078429045013,23.342159281070536,32.20845096409373,34.26396626641897,59.235549857533265,86.43404339145707,99.07381092558889,105.16625885170117,115.96226657364483,110.31211138876084,107.93656408119409,114.08322876089035,123.27943373998836,130.7127706756881,139.83025287170145,146.6031306556137,153.8482590064243,162.39898894035758,174.47614302466582,187.10356789911333,201.58439557482149,216.06462605872312,230.2139161051746,241.4648826218723,249.17702205334044,258.91048476392876,266.346817812036,269.0755299804315,273.31742547085105,283.568813113457,291.06485604107337,303.47537463707533,323.97147032427233,346.0100622516043,368.9766834538705
India,inflow,electricity,grid,lines,Aluminium,30.03259652236876,27.111330270296772,24.13774350205333,21.136309133527877,29.65368974835882,28.690082176052083,35.500930707780974,56.85493571668612,55.09554224492576,41.79874363821048,45.447165183927844,36.52090166831747,17.66254907362931,28.58320461222973,36.12610506445942,36.839019598165414,51.299707359587714,71.6425110906734,86.74685878469093,123.26716048059771,138.44682283387317,139.3252156890613,140.0048157128664,169.83998660616723,152.94036963829606,164.82832942291918,216.28131344081558,249.70203623274227,245.27814664821486,262.64777202261416,258.98613914910663,200.18447320786137,156.50176293464267,133.58832126880358,126.50524018462315,139.23908213571184,173.69977185231187,217.090722176032,246.08657119001126,275.3016557238006,330.7973508670329,394.7327513435385,458.0126950846958,528.8704730303821,573.9691299923617,575.015808938061,564.3278849619397,525.5377006677564,488.86699024220496,485.47582178551477,504.1228112161556,541.9874138254297,598.2179495531377,650.7046152616331,689.5392914171802,726.8679468504921,762.9636616994343,798.2410319399931,836.5669494035634,881.6543128980331,921.208924008444,953.9042802660223,998.6242419086266,1046.8117833075846,1096.9605049940092,1159.8443889194327,1229.3267037524995,1280.6255855140303,1330.608481179327,1385.9268061914213,1413.6320267984943,1450.886483822649,1507.7962815946355,1560.0561860339565,1593.1158548532226,1632.6851599732358,1645.1958702989866,1639.0955965825397,1633.6907407342135,1641.8382222917921
Indonesia Region,inflow,electricity,grid,lines,Aluminium,0.3533522142572966,0.3184201865575725,0.28296407391659856,0.24713234225903402,0.8986859853452532,0.8501685949078763,0.8454371553469712,1.1271539935008867,1.3170432425056313,0.8754741343905875,1.9736340183549965,2.1744979851651633,2.1969478478520883,2.5554983111154757,3.664546454174375,4.942983134042484,5.37319588276489,6.849071942762413,8.97904542026661,8.142985828757356,7.83413226109583,11.739029841187051,11.549511732279896,10.894678848503164,13.20571149515607,12.533852718479533,10.553641312332662,14.624305052926013,17.59273363623642,22.1899554762724,27.669318375374303,30.501635522104653,29.484919156095877,28.309926431937736,22.58270550082771,18.97309469528872,17.798002634085325,16.46972464630546,17.293105883957296,20.219348164904172,20.021562998726328,20.947085235922533,26.847961058494157,30.130650587657342,35.247954345212875,43.49853886516413,48.97634286542853,51.19118760379041,55.18380737313249,59.118988917258335,63.59845119511368,72.02419551169329,82.29925987992222,94.53540758525618,106.77580996997499,117.95185365610446,126.5981638994072,131.16255623544885,131.47728942547562,128.53058805060647,123.50066437935257,116.83412969168232,113.67983643321124,114.82517101302176,119.47072599237211,127.17472270796323,137.3397905516618,144.8208359657248,148.9749584191868,150.4986695131797,149.9557567360235,146.58203411572535,141.15793917094564,134.81559223222104,127.34131211688633,118.36186941073635,109.0596629886572,101.26621996775717,94.5964267986356,89.57116934909314
Japan,inflow,electricity,grid,lines,Aluminium,12.782429664996398,11.50728835246902,10.199816670659127,9.043941908976409,9.792769655113487,8.587982226068409,8.520346504465573,8.213003220743628,7.775518588962129,8.886558887586233,9.21131745904741,9.656802536772647,12.853323050636668,15.950890035880853,14.437713504026988,15.72138655420708,16.75785411936027,17.88475971063062,16.72239577279127,17.108409894392377,19.98201174315763,20.804093734066218,20.846933775855028,22.09833953052368,22.62606389574636,23.332447914122326,25.464633439779,27.411868935180767,28.636600517119067,27.497062056141424,24.264108839200922,22.24621620429628,18.036684561201213,17.351092582685897,20.544903483753554,21.259769247273965,20.133444733850904,20.429074398137853,20.694283956054793,16.719080786658843,15.325055686623516,16.66123955472916,20.074189590351864,24.200648738621407,24.68225003562222,24.460439846809102,21.98624225678603,16.5105410012569,8.621871755269206,7.368877768286239,5.637409115437599,5.217084704578433,4.801887089305348,4.315001673055941,3.6591864092686928,3.2824481363964915,4.834447007089736,6.797571146772779,7.267355472943194,8.517081272705086,10.510407139038358,10.635818524370208,11.028760453775961,13.039175122828759,14.344210480447746,15.309094805184449,16.41627248898059,16.547437108935604,16.610771133262492,16.78595052112741,16.435539602105337,15.944662604988181,15.932952253105066,15.865978840623066,15.80092013843108,15.998400867660132,15.921271480638802,15.29876097656735,14.674710018886874,13.920588400662545
