flow,sector,category,technologies,materials,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
stock,electricity,storage,Flywheel,Aluminium,6.262552091189208,8.658910440272008,11.15360351737023,14.48934007217503,17.81161973824669,21.269709055537042,26.318892447928455,31.233611111007477,35.93875801657146,39.50523158692756,46.08298830037562,49.55743730563545,53.10433499603384,56.9261774654668,61.65403572974767,63.23790670167259,65.61622227225499,67.9683451909295,69.65663837974374,71.83597458802204,75.16957127964797,78.1933957460307,81.31007647604937,85.34711971505301,89.50760316920416,93.5600130844365,97.13149971241457,100.87303166774245,104.34863749962449,107.4373296940501,109.59008136882613,112.50909670518085,115.81333465998904,119.92167880943403,124.79016295188809,130.56048911574396,136.95683560577095,144.01703882251198,150.76496812396388,158.05297210052456,165.9091440931793,174.75967153878562,184.23252046005393,194.00913504381393,203.32534979858755,212.90801086075814,222.55202470158875,232.16665181123207,242.09081155659243,252.47233073689048,263.4798844087157
stock,electricity,storage,Flywheel,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Cu,0.4195247301344882,0.5800553852197995,0.7471734266665846,0.9706324825877453,1.1931900693423403,1.4248454658153307,1.7630873309924244,2.0923214819891043,2.407516542574224,2.6464325372595967,3.0870726421111003,3.3198239645868677,3.557428582434679,3.813451591466597,4.1301680727916885,4.236270670005929,4.395592649830574,4.553159999104741,4.666257780027261,4.81225024784826,5.035565955576931,5.238130201711991,5.446914835059154,5.717354018753457,5.996062390822313,6.26753097923917,6.506782795745325,6.7574258500453235,6.99025466766515,7.197164365255999,7.3413759506059435,7.536919093946102,7.758268076933614,8.033483667239102,8.359620594531188,8.746171395455532,9.174658934720965,9.647617850841613,10.099657718604314,10.587876875421754,11.114157277902647,11.70704897510541,12.341629626800268,12.996559363935912,13.620647183719488,14.262584087004226,14.908630977325497,15.552709267579036,16.217522969462866,16.912974914465934,17.650364546739073
stock,electricity,storage,Flywheel,Electrolyte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Graphite & carbon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Mn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stock,electricity,storage,Flywheel,Nd,0.19853204514190106,0.27450010369196354,0.3535855166970638,0.4593332359394662,0.564654352160842,0.6742808326193295,0.8343473183892924,0.9901510759102721,1.1393111027256855,1.2523735222564554,1.460898014149142,1.5710431206027788,1.6834849561564627,1.804642942647976,1.9545229526952024,2.004733975089658,2.0801300512172882,2.1546957820359705,2.20821714117101,2.2773052809870458,2.3829851634422985,2.4788448140639168,2.5776481438207255,2.7056283089187985,2.8375217090701126,2.965989020241271,3.0792103610181414,3.19782238695244,3.308004166499064,3.4059202188119615,3.4741655901003288,3.5667026382699394,3.6714518059018513,3.8016923139662238,3.9560303696771157,4.13895813423142,4.3417316571675215,4.5655504076269455,4.779469619025602,5.010509986179523,5.25956210901657,5.540136751554526,5.840439893512508,6.150372850494817,6.445710460675898,6.7494948078354176,7.0552241276586605,7.360021845196176,7.674632199229522,8.003741515133523,8.352697038481788
